Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of California Davis Health Program,0.19,0.06,0.12,0.02,0.01,0,Sacramento,CA,Pacific
University of California Riverside School of Medicine Program,0.58,0.01,0.18,0,0.01,0,Riverside,CA,Pacific
University of Central Florida/HCA Florida Healthcare (Gainesville) Program,0.37,0.11,0.12,0.2,0.12,0,Gainesville,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Greater Orlando/Osceola) Program,0.45,0.04,0.2,0.06,0,0,Orlando,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Tallahassee) Program,-,-,-,-,-,-,Tallahassee,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare Program,-,-,-,-,-,-,Pensacola,FL,South Atlantic
University of Chicago Program,0.24,0.08,0.13,0.01,0,0,Chicago,IL,East North Central
University of Cincinnati Medical Center/College of Medicine Program,0.29,0.08,0.14,0.07,0,0,Cincinnati,OH,East North Central
University of Colorado Program,0.45,0.1,0.15,0.04,0.01,0,Aurora,CO,Mountain
University of Connecticut Program,0.62,0.07,0.13,0.04,0.02,0.03,Farmington,CT,New England
University of Florida College of Medicine Jacksonville Program,0.3,0.04,0.11,0.05,0,0,Jacksonville,FL,South Atlantic
University of Florida Program,0.48,0.07,0.18,0.13,0,0,Gainesville,FL,South Atlantic
University of Hawaii Program,1,0.15,0.28,0.09,0,0.02,Honolulu,HI,Pacific
University of Illinois College of Medicine at Chicago Program,0.2,0.06,0.11,0,0,0,Chicago,IL,East North Central
University of Illinois College of Medicine at Peoria Program,0.42,0.04,0.13,0.1,0.02,0.04,Peoria,IL,East North Central
University of Iowa Hospitals and Clinics Program,0.7,0.12,0.23,0.16,0.01,0.02,Iowa City,IA,West North Central
University of Kansas (Wichita) Program,0.75,0.09,0.16,0.16,0.04,0.06,Wichita,KS,West North Central
University of Kansas School of Medicine Program,1,0.09,0.18,0.1,0.04,0.02,Kansas City,KS,West North Central
University of Kentucky College of Medicine Program,0.85,0.08,0.18,0.12,0.03,0.02,Lexington,KY,East South Central
University of Louisville School of Medicine Program,0.76,0.09,0.22,0.09,0.03,0.05,Louisville,KY,East South Central
University of Maryland/Sheppard Pratt Program,0.21,0.15,0.23,0.08,0.02,0.02,Baltimore,MD,South Atlantic
University of Miami/Jackson Health System Program,0.38,0.07,0.19,0.02,0.01,0.04,Miami,FL,South Atlantic
University of Michigan Program,0.37,0.06,0.11,0.02,0.02,0.02,Ann Arbor,MI,East North Central
University of Minnesota Program,0.81,0.07,0.11,0.07,0.02,0.07,Minneapolis,MN,West North Central
University of Mississippi Medical Center Program,0.56,0.14,0.46,0.18,0.01,0,Jackson,MS,East South Central
University of Missouri-Columbia Program,0.68,0.09,0.25,0.15,0.06,0.09,Columbia,MO,West North Central
University of Missouri-Kansas City School of Medicine Program,0.54,0.07,0.2,0.08,0.06,0.05,Kansas City,MO,West North Central
University of Nebraska Medical Center College of Medicine Program,0.42,0.1,0.22,0.1,0.02,0,Omaha,NE,West North Central
University of Nevada Reno School of Medicine Program,0.36,0.1,0.2,0.1,0,0,Reno,NV,Mountain
University of New Mexico School of Medicine Program,0.56,0.1,0.16,0.13,0,0.03,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.71,0.12,0.2,0.01,0,0,Chapel Hill,NC,South Atlantic
University of North Dakota Program,0.5,0.09,0.25,0.17,0.03,0.02,Fargo,ND,West North Central
University of Oklahoma Health Sciences Center Program,0.79,0.07,0.18,0.1,0,0,Oklahoma City,OK,West South Central
University of Oklahoma School of Community Medicine (Tulsa) Program,0.92,0.11,0.21,0.19,0.01,0,Tulsa,OK,West South Central
University of Pennsylvania Health System Program,0.16,0.07,0.11,0,0,0,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.23,0.07,0.17,0.04,0.02,0.03,Rochester,NY,Middle Atlantic
University of South Dakota Program,1,0.14,0.36,0.2,0.04,0.03,Sioux Falls,SD,West North Central
University of South Florida Morsani Program,0.57,0.05,0.2,0.05,0.01,0,Tampa,FL,South Atlantic
University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,-,-,-,-,-,-,Los Angeles,CA,Pacific
University of Tennessee Program,0.41,0.05,0.13,0.04,0.01,0,Memphis,TN,East South Central
University of Texas at Austin Dell Medical School Program,-,-,-,-,-,-,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.42,0.07,0.17,0.05,0.04,0.09,Houston,TX,West South Central
University of Texas Health Science Center at Tyler Program,0.44,0.12,0.22,0.21,0.15,0.08,Tyler,TX,West South Central
University of Texas Health Science Center at Tyler/UT Health Pittsburg Program,0.68,0.16,0.32,0.28,0.16,0.09,Tyler,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,0.33,0.03,0.15,0.05,0.01,0.02,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.62,0.01,0.28,0.01,0,0,Galveston,TX,West South Central
University of Texas RGV Program,0.72,0.04,0.4,0.15,0.01,0,Harlingen,TX,West South Central
University of Texas Southwestern Medical Center Program,0.37,0.05,0.15,0.03,0.01,0.01,Dallas,TX,West South Central
University of Toledo Program,0.44,0.05,0.15,0.1,0.01,0.01,Toledo,OH,East North Central
University of Utah Health Program,1,0.15,0.26,0.09,0.06,0.04,Salt Lake City,UT,Mountain
University of Vermont Medical Center Program,0.89,0.07,0.14,0.02,0,0,Burlington,VT,New England
University of Virginia Medical Center Program,0.47,0.08,0.15,0.04,0.03,0.03,Charlottesville,VA,South Atlantic
University of Washington (Boise) Program,-,-,-,-,-,-,Boise,ID,Mountain
University of Washington Program,0.59,0.09,0.15,0.03,0.02,0.01,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,-,-,-,-,-,-,Madison,WI,East North Central
UPMC Medical Education Program,0.17,0.09,0.15,0.03,0.02,0.01,Pittsburgh,PA,Middle Atlantic
USA Health Program,0.78,0.03,0.16,0.18,0,0.01,Mobile,AL,East South Central
Valley Health System Program,0.7,0.09,0.08,0.27,0.05,0,Las Vegas,NV,Mountain
Vanderbilt University Medical Center Program,0.26,0.09,0.13,0.01,0.01,0.02,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,0.68,0.05,0.13,0.05,0,0,Richmond,VA,South Atlantic
Virtua Program,0.51,0.06,0.1,0.12,0,0,Mount Laurel,NJ,Middle Atlantic
Wake Forest University Baptist Medical Center Program,0.58,0.06,0.13,0.06,0,0.03,Winston-Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.38,0.15,0.28,0.08,0.02,0.04,St Louis,MO,West North Central
WellSpan Health/York Hospital Program,-,-,-,-,-,-,York,PA,Middle Atlantic
West Virginia University Program,0.75,0.1,0.28,0.07,0.01,0.03,Morgantown,WV,South Atlantic
Westchester Medical Center Program,0.3,0.06,0.16,0.06,0.08,0.05,Valhalla,NY,Middle Atlantic
Western Michigan University Homer Stryker MD School of Medicine Program,0.56,0.14,0.27,0.16,0.03,0.18,Kalamazoo,MI,East North Central
Willis-Knighton Health System Program,-,-,-,-,-,-,Shreveport,LA,West South Central
WiNC (Wisconsin Northern & Central) GME Consortium/ MCW (Wausau) Program,0.5,0.03,0.1,0.06,0.01,0.02,Wausau,WI,East North Central
Wright State University Program,0.56,0.03,0.15,0.06,0,0,Fairborn,OH,East North Central
Yale-New Haven Medical Center Program,0.49,0.11,0.17,0.03,0.02,0.05,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at Mather Hospital Program,0.22,0.04,0.11,0.06,0.05,0,Port Jefferson,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,0.22,0.05,0.09,0.09,0.05,0.04,Staten Island,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Zucker Hillside Hospital Program,0.3,0.08,0.2,0.02,0.01,0.02,Glen Oaks,NY,Middle Atlantic
