Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of New Mexico School of Medicine Program,0.43,0.21,0.35,0.12,0.03,0,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.49,0.09,0.17,0.05,0,0,Chapel Hill,NC,South Atlantic
University of Oklahoma School of Community Medicine (Tulsa) Program,0.85,0.29,0.38,0.44,0.07,0,Tulsa,OK,West South Central
University of Pennsylvania Health System Program,0.43,0.23,0.39,0.11,0,0,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.5,0.25,0.57,0.35,0.02,0.02,Rochester,NY,Middle Atlantic
University of South Florida Morsani Program,0.44,0.19,0.42,0.14,0.02,0,Tampa,FL,South Atlantic
University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,0.39,0.18,0.33,0.07,0,0,Los Angeles,CA,Pacific
University of Tennessee College of Medicine at Chattanooga Program,0.32,0.05,0.08,0.06,0,0,Chattanooga,TN,East South Central
University of Tennessee College of Medicine at Memphis Program,0.63,0.24,0.5,0.09,0,0,Memphis,TN,East South Central
University of Tennessee College of Medicine at Murfreesboro Program,0.63,0.32,0.61,0.27,0.06,0,Murfreesboro,TN,East South Central
University of Texas at Austin Dell Medical School Program,0.47,0.13,0.31,0.07,0,0,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.45,0.28,0.44,0.31,0.05,0.03,Houston,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,0.39,0.07,0.18,0.13,0.01,0.02,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.54,0.18,0.38,0.39,0.03,0,Galveston,TX,West South Central
University of Texas Southwestern Medical Center Program,0.61,0.29,0.55,0.22,0.03,0.03,Dallas,TX,West South Central
University of Toledo Program,0.84,0.25,0.46,0.39,0.18,0.05,Toledo,OH,East North Central
University of Utah Health Program,1,0.25,0.38,0.17,0.04,0.03,Salt Lake City,UT,Mountain
University of Vermont Medical Center Program,1,0.17,0.33,0.06,0,0.04,Burlington,VT,New England
University of Virginia Medical Center Program,0.55,0.16,0.32,0.07,0.01,0.02,Charlottesville,VA,South Atlantic
University of Washington Program,0.73,0.27,0.45,0.03,0.01,0,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,0.86,0.25,0.42,0.13,0,0,Madison,WI,East North Central
UPMC Medical Education (Erie) Program,0.62,0.17,0.36,0.36,0,0,Erie,PA,Middle Atlantic
UPMC Medical Education (Harrisburg) Program,0.69,0.2,0.3,0.44,0.15,0.11,Harrisburg,PA,Middle Atlantic
UPMC Medical Education (Pittsburgh) Program,0.48,0.34,0.55,0.13,0.01,0.04,Pittsburgh,PA,Middle Atlantic
USA Health Program,0.68,0.47,0.59,0.58,0.3,0,Mobile,AL,East South Central
Valley Health System Program,0.95,0.39,0.58,0.64,0.08,0,Las Vegas,NV,Mountain
Vanderbilt University Medical Center Program,-,-,-,-,-,-,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,0.7,0.18,0.32,0.17,0.03,0.01,Richmond,VA,South Atlantic
Wake Forest University Baptist Medical Center Program,0.64,0.18,0.34,0.03,0,0,Winston-Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.6,0.54,0.81,0.33,0.23,0.19,St. Louis,MO,West North Central
Wellspan Health/York Hospital Program,0.72,0.22,0.69,0.46,0.07,0.08,York,PA,Middle Atlantic
Wellstar Health System/Wellstar Kennestone Regional Medical Center Program,0.78,0.32,0.58,0.4,0.14,0,Marietta,GA,South Atlantic
West Virginia University Program,0.86,0.46,0.59,0.61,0,0,Morgantown,WV,South Atlantic
Western Michigan University Homer Stryker MD School of Medicine Program,0.8,0.4,0.65,0.61,0.11,0.03,Kalamazoo,MI,East North Central
Wright State University Program,0.7,0.16,0.39,0.24,0.08,0,Fairborn,OH,East North Central
Wyckoff Heights Medical Center Program,0.64,0.28,0.47,0.54,0.23,0.07,Brooklyn,NY,Middle Atlantic
Yale-New Haven Medical Center Program,0.58,0.29,0.48,0.25,0.05,0.03,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at South Shore University Hospital Program,0.4,0.12,0.27,0.29,0.08,0.01,Bayshore,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,0.64,0.34,0.56,0.65,0.06,0.06,Staten Island,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell Program,0.83,0.34,0.76,0.59,0.05,0.02,Manhasset,NY,Middle Atlantic
