Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Trinity Health Oakland/Wayne State University Program,0.31,0.04,0.12,0.08,0,0,Pontiac,MI,East North Central
Tripler Army Medical Center Program,-,-,-,-,-,-,Tripler AMC,HI,Pacific
Tufts Medical Center Program,0.49,0.04,0.09,0.06,0.01,0.01,Boston,MA,New England
Tulane University Program,0.53,0.04,0.09,0.05,0.01,0.03,New Orleans,LA,West South Central
UCLA David Geffen School of Medicine/UCLA Medical Center Program,-,-,-,-,-,-,Los Angeles,CA,Pacific
UMass Chan - Baystate Program,0.29,0.07,0.15,0.07,0,0,Springfield,MA,New England
UMass Chan Medical School Program,0.63,0.14,0.23,0.07,0.04,0.12,Worcester,MA,New England
University at Buffalo Program,0.36,0.07,0.21,0.09,0.01,0.01,Buffalo,NY,Middle Atlantic
University of Alabama Medical Center Program,0.33,0.07,0.14,0.01,0,0.01,Birmingham,AL,East South Central
University of Arizona College of Medicine-Phoenix Program,0.45,0.1,0.17,0.12,0,0,Phoenix,AZ,Mountain
University of Arizona College of Medicine-Tucson Program,0.39,0.12,0.2,0.13,0.11,0.04,Tucson,AZ,Mountain
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,-,-,-,-,-,-,Little Rock,AR,West South Central
University of California (Irvine) Program,0.09,0.05,0.1,0.01,0,0,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,0.12,0.06,0.1,0,0,0,La Jolla,CA,Pacific
University of California (San Francisco) Program,0.17,0.05,0.09,0,0,0.01,San Francisco,CA,Pacific
University of California (San Francisco)/Fresno Program,0.22,0.1,0.17,0.12,0.01,0,Fresno,CA,Pacific
University of California Davis Health Program,0.17,0.07,0.12,0,0,0,Sacramento,CA,Pacific
University of California San Francisco (East Bay) Program,0.27,0.09,0.17,0.08,0,0,Oakland,CA,Pacific
University of Central Florida/HCA Florida Healthcare (Greater Orlando/Osceola) Program,0.3,0.09,0.24,0.11,0,0,Orlando,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Ocala) Program,0.23,0.07,0.16,0.11,0.04,0,Ocala,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Pensacola) Program,0.27,0.08,0.26,0.02,0.03,0,Pensacola,FL,South Atlantic
University of Chicago Program,0.25,0.05,0.09,0,0,0.01,Chicago,IL,East North Central
University of Cincinnati Medical Center/College of Medicine Program,-,-,-,-,-,-,Cincinnati,OH,East North Central
University of Colorado Program,0.45,0.07,0.1,0.05,0.02,0.02,Aurora,CO,Mountain
University of Connecticut Program,0.52,0.06,0.14,0.02,0.02,0.01,Farmington,CT,New England
University of Florida College of Medicine Jacksonville Program,0.3,0.07,0.12,0.13,0.04,0.01,Jacksonville,FL,South Atlantic
University of Florida Program,0.02,0.02,0.03,0,0,0,Gainesville,FL,South Atlantic
University of Hawaii Program,0.89,0.07,0.16,0.02,0,0.01,Honolulu,HI,Pacific
University of Illinois College of Medicine at Chicago (Metropolitan Group) Program,-,-,-,-,-,-,Chicago,IL,East North Central
University of Illinois College of Medicine at Chicago (Mount Sinai) Program,0.15,0.04,0.07,0.07,0,0,Chicago,IL,East North Central
University of Illinois College of Medicine at Chicago Program,0.35,0.08,0.16,0.01,0.02,0.01,Chicago,IL,East North Central
University of Illinois College of Medicine at Peoria Program,0.27,0.08,0.18,0.06,0.02,0,Peoria,IL,East North Central
University of Iowa Hospitals and Clinics Program,0.75,0.07,0.16,0.03,0.01,0.01,Iowa City,IA,West North Central
University of Kansas (Wichita) Program,0.76,0.09,0.19,0.09,0,0.01,Wichita,KS,West North Central
University of Kansas School of Medicine Program,0.87,0.11,0.18,0.11,0,0.01,Kansas City,KS,West North Central
University of Kentucky College of Medicine (Bowling Green) Program,0.77,0.05,0.1,0.09,0,0.01,Bowling Green,KY,East South Central
University of Kentucky College of Medicine Program,0.39,0.1,0.18,0.05,0,0.01,Lexington,KY,East South Central
University of Louisville School of Medicine Program,0.62,0.1,0.18,0,0.01,0.01,Louisville,KY,East South Central
University of Maryland Program,-,-,-,-,-,-,Baltimore,MD,South Atlantic
University of Miami Hospital and Clinics Program,0.25,0.02,0.09,0,0.01,0.01,Fort Lauderdale,FL,South Atlantic
University of Miami/Jackson Health System Program,0.31,0.17,0.26,0.01,0.11,0.13,Miami,FL,South Atlantic
University of Michigan Health - Sparrow Program,0.34,0.09,0.25,0.1,0.03,0,Lansing,MI,East North Central
University of Michigan Health-West Program,-,-,-,-,-,-,Wyoming,MI,East North Central
University of Michigan Program,0.34,0.07,0.12,0.01,0,0,Ann Arbor,MI,East North Central
University of Minnesota Program,0.69,0.1,0.17,0.16,0.02,0.02,Minneapolis,MN,West North Central
University of Mississippi Medical Center Program,-,-,-,-,-,-,Jackson,MS,East South Central
University of Missouri-Columbia Program,-,-,-,-,-,-,Columbia,MO,West North Central
University of Missouri-Kansas City School of Medicine Program,0.5,0.1,0.2,0.13,0.08,0.04,Kansas City,MO,West North Central
University of Nebraska Medical Center College of Medicine Program,-,-,-,-,-,-,Omaha,NE,West North Central
University of New Mexico School of Medicine Program,0.55,0.09,0.16,0.06,0.03,0.03,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,0.3,0.06,0.09,0,0,0,Chapel Hill,NC,South Atlantic
University of North Dakota Program,-,-,-,-,-,-,Grand Forks,ND,West North Central
University of Oklahoma Health Sciences Center Program,0.43,0.08,0.16,0.01,0.01,0.02,Oklahoma City,OK,West South Central
University of Oklahoma School of Community Medicine (Tulsa) Program,-,-,-,-,-,-,Tulsa,OK,West South Central
University of Pennsylvania Health System Program,0.16,0.07,0.09,0.02,0.06,0.05,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.16,0.05,0.11,0,0,0,Rochester,NY,Middle Atlantic
University of South Dakota School of Medicine Program,0.75,0.13,0.21,0.13,0.01,0.04,Sioux Falls,SD,West North Central
University of South Florida Morsani Program,0.23,0.07,0.17,0.01,0.03,0.01,Tampa,FL,South Atlantic
University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,-,-,-,-,-,-,Los Angeles,CA,Pacific
University of Tennessee College of Medicine (Nashville) Program,0.13,0.07,0.12,0,0,0,Nashville,TN,East South Central
University of Tennessee College of Medicine at Chattanooga Program,-,-,-,-,-,-,Chattanooga,TN,East South Central
University of Tennessee Medical Center at Knoxville Program,0.32,0.11,0.19,0.09,0.01,0,Knoxville,TN,East South Central
University of Tennessee Program,0.21,0.07,0.12,0.02,0,0.01,Memphis,TN,East South Central
University of Texas at Austin Dell Medical School Program,-,-,-,-,-,-,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.1,0,0.02,0,0,0,Houston,TX,West South Central
University of Texas Health Science Center at Tyler Program,0.22,0.05,0.17,0.01,0.01,0.05,Tyler,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,-,-,-,-,-,-,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.34,0.07,0.19,0.12,0.02,0.05,Galveston,TX,West South Central
University of Texas Rio Grande Valley Program,0.3,0.02,0.13,0.04,0.02,0.01,Harlingen,TX,West South Central
University of Texas Southwestern Medical Center Program,0.34,0.12,0.22,0.05,0.04,0.06,Dallas,TX,West South Central
University of Toledo Program,0.45,0.06,0.2,0.06,0,0,Toledo,OH,East North Central
University of Utah Health Program,0.36,0.06,0.09,0,0.01,0.02,Salt Lake City,UT,Mountain
University of Vermont Medical Center Program,1,0.12,0.19,0.22,0.01,0.01,Burlington,VT,New England
University of Virginia Medical Center Program,0.25,0.04,0.07,0,0.01,0,Charlottesville,VA,South Atlantic
University of Washington Program,-,-,-,-,-,-,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,0.44,0.08,0.13,0,0.02,0.03,Madison,WI,East North Central
UPMC Medical Education (Farrell) Program,0.09,0.04,0.06,0.13,0,0,Farrell,PA,Middle Atlantic
UPMC Medical Education (Harrisburg) Community Program,-,-,-,-,-,-,Harrisburg,PA,Middle Atlantic
UPMC Medical Education (Harrisburg) Program,-,-,-,-,-,-,Harrisburg,PA,Middle Atlantic
UPMC Medical Education (Pittsburgh) Program,0.15,0.06,0.13,0,0,0.01,Pittsburgh,PA,Middle Atlantic
UPMC Medical Education Program,0.28,0.13,0.24,0.18,0.09,0,Harrisburg,PA,Middle Atlantic
UPMC Medical Education/Mercy Program,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
USA Health Program,0.37,0.11,0.25,0,0,0,Mobile,AL,East South Central
Valley Health System Program,0.93,0.12,0.24,0.12,0.05,0,Las Vegas,NV,Mountain
Vanderbilt University Medical Center Program,-,-,-,-,-,-,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,0.39,0.07,0.13,0.04,0.02,0.01,Richmond,VA,South Atlantic
Virginia Mason Franciscan Health Program,0.34,0.12,0.19,0.07,0,0.01,Seattle,WA,Pacific
Virginia Mason Franciscan Health/St Joseph's Hospital Program,0.18,0.05,0.08,0.07,0.01,0,Tacoma,WA,Pacific
Virtua Program,-,-,-,-,-,-,Voorhees,NJ,Middle Atlantic
Wake Forest University Baptist Medical Center Program,0.31,0.05,0.09,0,0,0,Winston-Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.16,0.07,0.13,0,0,0,St Louis,MO,West North Central
Wellspan Health/York Hospital Program,0.43,0.08,0.39,0.01,0.01,0.01,York,PA,Middle Atlantic
Wellstar Health System/Wellstar Kennestone Regional Medical Center Program,0.67,0.05,0.15,0.04,0.01,0.01,Marietta,GA,South Atlantic
West Virginia University Program,-,-,-,-,-,-,Morgantown,WV,South Atlantic
Westchester Medical Center Program,0.33,0.09,0.26,0.11,0.06,0.04,Valhalla,NY,Middle Atlantic
Western Michigan University Homer Stryker MD School of Medicine Program,-,-,-,-,-,-,Kalamazoo,MI,East North Central
Western Reserve Health Education/NEOMED Program,0.64,0.08,0.15,0.15,0.13,0.02,Warren,OH,East North Central
Western Reserve Hospital Program,0.15,0.05,0.01,0.14,0,0,Cuyahoga Falls,OH,East North Central
William Beaumont Army Medical Center Program,-,-,-,-,-,-,El Paso,TX,West South Central
Willis-Knighton Health System Program,0.63,0.09,0.26,0.15,0.02,0.01,Shreveport,LA,West South Central
Womack Army Medical Center Program,-,-,-,-,-,-,Fort Liberty,NC,South Atlantic
Wright State University Program,0.28,0.05,0.11,0.04,0.03,0,Dayton,OH,East North Central
Wyckoff Heights Medical Center Program,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Yale-New Haven Medical Center Program,0.38,0.07,0.12,0.01,0.03,0.05,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,-,-,-,-,-,-,New York,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at South Shore University Hospital Program,-,-,-,-,-,-,Bay Shore,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,0.4,0.09,0.24,0.24,0.05,0.01,Staten Island,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell Program,0.43,0.11,0.3,0.06,0.02,0.02,New Hyde Park,NY,Middle Atlantic
