Program,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
HCA Houston Healthcare/University of Houston (West) Program,-,-,0.59,0.08,0.44,0.32,0.02,0,Houston,TX,West South Central
HCA Medical City Healthcare UNT-TCU GME (Arlington) Program,-,-,-,-,-,-,-,-,Arlington,TX,West South Central
HCA Medical City Healthcare UNT-TCU GME (Fort Worth) Program,0.18,0.03,0.21,0,0,0.09,0,0,Fort Worth,TX,West South Central
Health Education Services/Crestwood Medical Center Program,0.61,0.14,0.95,0.14,0.66,0.8,0.08,0.05,Huntsville,AL,East South Central
Health Education Services/Gadsden Regional Medical Center Program,0.53,0.34,0.74,0.32,0.85,0.58,0.26,0.15,Gadsden,AL,East South Central
Health Education Services/Northwest Health (Porter) Program,0.21,0.07,0.73,0.07,0.31,0.42,0.03,0.07,Valparaiso,IN,East North Central
Health Education Services/South Baldwin Regional Medical Center Program,0.68,0.31,0.84,0.28,0.72,0.67,0.15,0,Foley,AL,East South Central
HealthPartners Institute/Amery (New Richmond) Program,0.35,0.09,0.88,0.09,0.64,0.51,0.03,0.01,New Richmond,WI,East North Central
"Healthy Rural California, Inc. Program",-,-,-,-,-,-,-,-,Chico,CA,Pacific
Hennepin Healthcare Program,0.32,0.08,0.67,0.1,0.49,0.21,0.1,0.07,Minneapolis,MN,West North Central
Henry Ford Health/Henry Ford Hospital Program,0.36,0.06,0.37,0.06,0.36,0.14,0.03,0.02,Detroit,MI,East North Central
Henry Ford Health/Henry Ford Jackson Hospital Program,0.08,0.05,0.61,0.04,0.35,0.45,0.02,0.03,Jackson,MI,East North Central
Henry Ford Health/Henry Ford Macomb Hospital Program,0.56,0.1,0.32,0.1,0,0.29,0,0,Clinton Township,MI,East North Central
Heritage Valley Health System Program,-,-,-,-,-,-,-,-,Beaver Falls,PA,Middle Atlantic
HonorHealth Program,0.54,0.2,0.64,0.18,0.54,0.33,0,0,Scottsdale,AZ,Mountain
Hospital Dr Alejandro Otero Lopez Program,-,-,-,-,-,-,-,-,Manati,PR,South Atlantic
Houston Healthcare System Program,0.63,0.31,0.6,0.33,0.29,0.64,0.25,0.31,Warner Robins,GA,South Atlantic
Howard University Program,-,-,-,-,-,-,-,-,Washington,DC,South Atlantic
Humboldt Park Health Program,0.09,0.07,0.14,0.07,0.12,0,0.1,0.04,Chicago,IL,East North Central
Hunterdon Medical Center Program,0.81,0.19,0.85,0.17,0.68,0.27,0.05,0,Flemington,NJ,Middle Atlantic
Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,0.27,0.11,0.32,0.11,0.44,0.11,0.01,0,New York,NY,Middle Atlantic
Icahn School of Medicine at Mount Sinai/South Nassau Program,0.45,0.09,0.53,0.08,0.32,0.34,0.07,0,Oceanside,NY,Middle Atlantic
Idaho State University Program,0.84,0.41,0.86,0.45,0.67,0.66,0.15,0,Pocatello,ID,Mountain
Idaho State University Rural Program,0.44,0.22,0.3,0.23,0.5,0.41,0.01,0,Pocatello,ID,Mountain
In His Image at St John Medical Center Program,0.3,0.09,0.44,0.11,0.35,0.31,0.01,0.01,Tulsa,OK,West South Central
Indiana Regional Medical Center Program,0.27,0.14,0.66,0.12,0.53,0.63,0.1,0.01,Indiana,PA,Middle Atlantic
Indiana University School of Medicine (Arnett) Program,-,-,0.82,0.11,0.45,0.59,0.08,0.05,Lafayette,IN,East North Central
Indiana University School of Medicine (Jasper) Program,0.18,0.1,0.79,0.09,0.55,0.42,0.1,0.05,Jasper,IN,East North Central
Indiana University School of Medicine Program,0.49,0.16,0.81,0.17,0.34,0.27,0.15,0.13,Indianapolis,IN,East North Central
Indiana University School of Medicine/Ball Memorial Program,0.79,0.3,0.83,0.3,0.69,0.42,0.01,0,Muncie,IN,East North Central
Inova Fairfax Medical Campus Program,0.46,0.15,0.57,0.15,0.41,0.2,0,0,Fairfax,VA,South Atlantic
Inspira Health Network/Inspira Medical Center - Mullica Hill Program,0.47,0.19,0.9,0.18,0.49,0.63,0.11,0,Mullica Hill,NJ,Middle Atlantic
Inspira Health Network/Inspira Medical Center Vineland Program,-,-,0.67,0.15,0.18,0.52,0.01,0,Vineland,NJ,Middle Atlantic
Institute for Family Health (Harlem) Program,-,-,0.37,0.08,0.49,0.05,0,0,New York,NY,Middle Atlantic
Institute for Family Health (Mid-Hudson) Program,0.18,0.03,0.21,0.04,0.21,0.1,0.05,0.01,Kingston,NY,Middle Atlantic
Institute for Family Health Program,-,-,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Integris Health/Great Plains Program,-,-,0.78,0.05,0.29,0.27,0,0,Oklahoma City,OK,West South Central
Jackson Hospital and Clinic Program,0.41,0.18,0.9,0.16,0.83,0.83,0.06,0.06,Montgomery,AL,East South Central
Jamaica Hospital Medical Center/Albert Einstein College of Medicine Program,0.16,0.13,0.48,0.11,0.44,0.29,0.13,0,Jamaica,NY,Middle Atlantic
Jefferson Health Northeast Program,0.46,0.05,0.37,0.05,0.22,0.3,0.01,0.01,Langhorne,PA,Middle Atlantic
JFK Medical Center Program,0.12,0.09,0.62,0.08,0.47,0.24,0.06,0.07,Edison,NJ,Middle Atlantic
John Muir Health Program,0.45,0.24,0.48,0.21,0.44,0.27,0.03,0,Walnut Creek,CA,Pacific
John Peter Smith Hospital (Tarrant County Hospital District) Program,0.43,0.19,0.53,0.17,0.57,0.11,0,0,Fort Worth,TX,West South Central
Johnston Memorial Hospital Program,0.42,0.21,0.93,0.19,0.46,0.74,0.11,0.07,Abingdon,VA,South Atlantic
Kadlec Regional Medical Center Program,0.59,0.53,0.8,0.52,0.68,0.76,0.41,0.09,Richland,WA,Pacific
Kaiser Permanente Northern California (Greater Sacramento Valley) Program,0.4,0.15,0.33,0.13,0.36,0.15,0.06,0,Sacramento,CA,Pacific
Kaiser Permanente Northern California (Napa-Solano) Program,-,-,0.38,0.19,0.62,0.13,0,0,Vallejo,CA,Pacific
Kaiser Permanente Northern California (San Jose) Program,0.36,0.16,0.3,0.15,0.38,0.14,0,0,San Jose,CA,Pacific
Kaiser Permanente Northern California (Santa Rosa) Program,0.59,0.15,0.31,0.17,0.41,0.21,0.01,0,Santa Rosa,CA,Pacific
Kaiser Permanente Southern California (Anaheim) Program,0.28,0.09,0.21,0.09,0.29,0.13,0,0.03,Santa Ana,CA,Pacific
Kaiser Permanente Southern California (Fontana) Program,0.56,0.11,0.34,0.11,0.48,0.13,0,0,Fontana,CA,Pacific
Kaiser Permanente Southern California (Los Angeles) Program,0.28,0.12,0.3,0.09,0.32,0.07,0,0,Los Angeles,CA,Pacific
Kaiser Permanente Southern California (Riverside) Program,0.4,0.11,0.4,0.09,0.32,0.21,0.06,0,Riverside,CA,Pacific
Kaiser Permanente Southern California (San Diego) Program,0.44,0.11,0.24,0.13,0.31,0.08,0,0,San Diego,CA,Pacific
Kaiser Permanente Southern California (Woodland Hills) Program,0.54,0.16,0.34,0.16,0.45,0.18,0,0,Woodland Hills,CA,Pacific
Kaiser Permanente Washington Program,0.46,0.12,0.5,0.13,0.25,0.12,0,0,Seattle,WA,Pacific
Kansas City University GME Consortium (KCU-GME Consortium)/Reid Health Program,0.19,0.23,0.88,0.2,0.33,0.66,0.15,0.14,Richmond,IN,East North Central
Kansas City University GME Consortium (KCU-GME Consortium)/St Luke's Des Peres Program,0.52,0.05,0.25,0.06,0.14,0.16,0.03,0,St. Louis,MO,West North Central
Kansas City University GME Consortium (KCU-GMEC)/Freeman Program,0.64,0.35,0.72,0.3,0.55,0.62,0.19,0,Joplin,MO,West North Central
Kaweah Delta Health Care District (KDHCD) Program,-,-,0.62,0.33,0.59,0.69,0.28,0.19,Visalia,CA,Pacific
Keck School of Medicine of USC Program,0.25,0.08,0.21,0.06,0.23,0.04,0.01,0,Los Angeles,CA,Pacific
Kent Hospital/Brown University Program,0.73,0.25,1,0.34,0.55,0.32,0.02,0.01,Pawtucket,RI,New England
Kettering Health Network/Grandview Medical Center Program,0.43,0.28,0.49,0.27,0,0.53,0,0,Dayton,OH,East North Central
Kettering Health Network/Indu and Raj Soin Medical Center Program,0.68,0.26,0.92,0.21,0.73,0.59,0.06,0.07,Beavercreek,OH,East North Central
Kirk Kerkorian School of Medicine at UNLV Program,-,-,0.83,0.14,0.39,0.33,0,0,Las Vegas,NV,Mountain
Kirk Kerkorian School of Medicine at UNLV Program A,-,-,0.5,0.05,0.23,0.16,0,0,Las Vegas,NV,Mountain
Kootenai Health Program,0.6,0.33,0.41,0.38,0.72,0.34,0,0,Coeur d'Alene,ID,Mountain
"KPC Global Medical Centers, Inc. Program",-,-,0.06,0.09,0.02,0.04,0.1,0.04,Hemet,CA,Pacific
Lake Cumberland Regional Hospital Program,0.43,0.11,0.33,0.11,0.24,0.31,0.02,0,Somerset,KY,East South Central
Lake Erie College of Osteopathic Medicine Program,-,-,-,-,-,-,-,-,Erie,PA,Middle Atlantic
Lakeland Regional Health Program,-,-,0.57,0.07,0.26,0.34,0.03,0,Lakeland,FL,South Atlantic
Lakeside Medical Center Program,0.2,0.06,0.18,0.07,0.07,0.16,0.06,0,Belle Glade,FL,South Atlantic
Lancaster General Hospital Program,0.77,0.16,0.38,0.25,0.49,0.28,0,0,Lancaster,PA,Middle Atlantic
Larkin Community Hospital Palm Springs Campus Program,0.09,0.01,0,0.02,0,0,0.04,0.01,Hialeah,FL,South Atlantic
Larkin Community Hospital Program,0.1,0.02,0,0.03,0.02,0,0.03,0.05,South Miami,FL,South Atlantic
Latrobe Area Hospital Program,0.48,0.12,0.48,0.1,0.23,0.31,0.06,0.1,Latrobe,PA,Middle Atlantic
Lawndale Christian Health Center Program,-,-,-,-,-,-,-,-,Chicago,IL,East North Central
Lehigh Valley Health Network (Allentown) Program,0.52,0.1,0.29,0.1,0.26,0.22,0.04,0,Allentown,PA,Middle Atlantic
Lehigh Valley Health Network (Pottsville) Program,0.36,0.23,0.63,0.2,0.5,0.51,0.18,0,Pottsville,PA,Middle Atlantic
"Lewis County Primary Care Center, Inc Program",-,-,-,-,-,-,-,-,Maysville,KY,East South Central
Lexington Medical Center/University of South Carolina SOM Columbia Program,0.33,0.21,0.93,0.17,0.38,0.53,0.05,0,West Columbia,SC,South Atlantic
LifeLong Medical Care Program,0.63,0.14,0.38,0.15,0.38,0.27,0.01,0,Richmond,CA,Pacific
Lincoln Medical Education Partnership Program,-,-,1,0.15,0.65,0.7,0.05,0,Lincoln,NE,West North Central
Loma Linda University Health Education Consortium Program,0.39,0.11,0.36,0.09,0.42,0.16,0.03,0.01,Loma Linda,CA,Pacific
Loma Linda University Medical Center - Murrieta Program,0.31,0.14,0.51,0.1,0.4,0.37,0.05,0.01,Murrieta,CA,Pacific
Long Beach Memorial Medical Center Program,0.53,0.12,0.27,0.15,0.32,0.12,0,0,Long Beach,CA,Pacific
Los Angeles County-Harbor-UCLA Medical Center Program,0.66,0.2,0.58,0.19,0.45,0.31,0.03,0,Harbor City,CA,Pacific
Louisiana State University (Shreveport) Program,0.45,0.03,0.61,0.07,0.28,0.2,0.03,0.1,Shreveport,LA,West South Central
Louisiana State University (Shreveport) Rural Program,0.15,0.04,0.55,0.04,0.24,0.17,0.03,0.03,Shreveport,LA,West South Central
Louisiana State University (Shreveport)/Monroe Program,0.13,0.04,0.93,0.05,0.41,0.51,0.02,0.06,Monroe,LA,West South Central
Louisiana State University (Shreveport)/Rapides Regional Medical Center Program,0.31,0.11,0.65,0.1,0.47,0.37,0.06,0.12,Alexandria,LA,West South Central
Louisiana State University School of Medicine (Bogalusa) Program,0.4,0.13,0.88,0.11,0.63,0.49,0.08,0.04,Bogalusa,LA,West South Central
Louisiana State University School of Medicine (Kenner) Program,0.67,0.17,0.94,0.13,0.55,0.33,0.17,0,Kenner,LA,West South Central
Louisiana State University School of Medicine (Lake Charles) Program,0.65,0.16,0.87,0.14,0.69,0.51,0.14,0.01,Lake Charles,LA,West South Central
Loyola Medicine MacNeal Hospital Program,0.52,0.23,0.78,0.17,0.63,0.26,0,0,Berwyn,IL,East North Central
LSU Health Sciences Center/University Hospital and Clinics (Lafayette) Program,0.63,0.13,0.89,0.12,0.57,0.47,0.13,0,Lafayette,LA,West South Central
Madigan Army Medical Center Program,-,-,-,-,-,-,-,-,Tacoma,WA,Pacific
Main Line Health System/Bryn Mawr Hospital Program,-,-,0.59,0.09,0.59,0.28,0,0,Bryn Mawr,PA,Middle Atlantic
Maine-Dartmouth Family Medicine Program,0.76,0.14,0.95,0.17,0.52,0.48,0.05,0.04,Augusta,ME,New England
MaineHealth Program,0.59,0.1,0.41,0.18,0.35,0.14,0.01,0.01,Portland,ME,New England
Manatee Memorial Hospital Program,0.38,0.16,0.43,0.15,0.4,0.17,0.17,0.02,Bradenton,FL,South Atlantic
Marian Regional Medical Center Program,0.51,0.31,0.46,0.29,0.39,0.41,0,0,Santa Maria,CA,Pacific
Marion Health Program,-,-,0.67,0.39,0,0.18,0.33,0.54,Marion,IN,East North Central
Marshall Community Health Consortium Program,0.15,0.08,0.8,0.07,0.33,0.5,0.01,0.01,Gallipolis,OH,East North Central
Marshall University School of Medicine Program,0.44,0.08,0.65,0.08,0.53,0.26,0.01,0,Huntington,WV,South Atlantic
Martin Army Community Hospital Program,-,-,-,-,-,-,-,-,Fort Benning,GA,South Atlantic
Mary Washington Healthcare Program,0.2,0.13,0.83,0.09,0.5,0.53,0.03,0.03,Fredericksburg,VA,South Atlantic
Mayo Clinic College of Medicine and Science (Eau Claire) Program,0.37,0.19,0.67,0.19,0.68,0.34,0.01,0.03,Eau Claire,WI,East North Central
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.24,0.1,0.39,0.1,0.45,0.16,0.01,0.01,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (La Crosse) Program,0.61,0.21,0.83,0.22,0.68,0.37,0.05,0.01,La Crosse,WI,East North Central
Mayo Clinic College of Medicine and Science (Mankato) Program,0.59,0.1,0.64,0.15,0.56,0.25,0.08,0.01,Mankato,MN,West North Central
Mayo Clinic College of Medicine and Science (Rochester) Program,0.38,0.13,0.74,0.15,0.53,0.26,0.05,0.02,Rochester,MN,West North Central
McGaw Medical Center of Northwestern University (Delnor) Program,0.55,0.32,0.84,0.27,0.79,0.39,0,0,Geneva,IL,East North Central
McGaw Medical Center of Northwestern University (Lake Forest) Program,0.49,0.25,0.48,0.24,0.57,0.24,0.01,0,Grayslake,IL,East North Central
McGaw Medical Center of Northwestern University/Erie-Humboldt Park Program,0.57,0.12,0.38,0.16,0.37,0.14,0,0,Chicago,IL,East North Central
McKay-Dee Hospital Center Program,0.59,0.19,1,0.27,0.54,0.21,0,0,Ogden,UT,Mountain
McLaren Health Care Corporation Program,-,-,-,-,-,-,-,-,Port Huron,MI,East North Central
McLaren Health Care Corporation Program,0.17,0.1,0.85,0.06,0.56,0.5,0.03,0,Petoskey,MI,East North Central
McLaren Health Care/Bay/MSU Program,0.26,0.21,0.86,0.15,0.5,0.57,0.12,0.08,Bay City,MI,East North Central
McLaren Health Care/Flint/MSU Program,0.23,0.08,0.56,0.08,0.18,0.39,0.08,0.03,Flint,MI,East North Central
McLaren Health Care/Greater Lansing/MSU Program,-,-,0.5,0.16,0.13,0.55,0,0.04,Lansing,MI,East North Central
McLaren Health Care/Macomb/MSU Program,0.43,0.12,0.62,0.08,0.4,0.38,0.03,0,Mt. Clemens,MI,East North Central
McLaren Health Care/Oakland/MSU Program,0.57,0.13,0.65,0.09,0.4,0.4,0.04,0.02,Pontiac,MI,East North Central
McLeod Regional Medical Center (Rural) Program,-,-,-,-,-,-,-,-,Florence,SC,South Atlantic
McLeod Regional Medical Center Program,-,-,-,-,-,-,-,-,Florence,SC,South Atlantic
Meadville Medical Center Program,-,-,0.47,0.03,0.17,0.3,0.02,0,Meadville,PA,Middle Atlantic
Medical College of Georgia Program,0.28,0.09,0.74,0.09,0.31,0.23,0.04,0.02,Augusta,GA,South Atlantic
"Medical College of Wisconsin Affiliated Hospitals, Inc (Milwaukee - South) Program",0.46,0.18,0.93,0.16,0.6,0.52,0.06,0.02,Milwaukee,WI,East North Central
"Medical College of Wisconsin Affiliated Hospitals, Inc./Milwaukee Health Services, Inc. Program",0.54,0.18,0.86,0.2,0.81,0.25,0.09,0.15,Milwaukee,WI,East North Central
Medical College of Wisconsin Affiliated Hospitals/Columbia-St Mary's Program,-,-,-,-,-,-,-,-,Milwaukee,WI,East North Central
Medical College of Wisconsin Affiliated Hospitals/Froedtert Menomonee Falls Hospital Program,0.7,0.2,0.97,0.18,0.74,0.51,0.15,0.06,Menomonee Falls,WI,East North Central
Medical College of Wisconsin Affiliated Hospitals/Wheaton Franciscan Healthcare-All Saints Program,-,-,-,-,-,-,-,-,Milwaukee,WI,East North Central
Medical University of South Carolina College of Medicine Program,0.46,0.13,0.32,0.17,0.31,0.11,0.05,0,Charleston,SC,South Atlantic
MedStar Health/Franklin Square Program,-,-,-,-,-,-,-,-,Baltimore,MD,South Atlantic
MedStar Health/Georgetown-Washington Hospital Center Program,0.4,0.17,0.67,0.2,0.42,0.25,0,0,Colmar Manor,MD,South Atlantic
Meharry Medical College Program,-,-,0.27,0.05,0.16,0.05,0.04,0,Nashville,TN,East South Central
Memorial Health System Program,-,-,1,0.07,0.95,0.9,0.06,0.01,Marietta,OH,East North Central
Memorial Hermann Health System Program,0.43,0.19,0.54,0.11,0.49,0.25,0,0,Sugar Land,TX,West South Central
Memorial Hospital at Gulfport Program,0.38,0.24,0.89,0.21,0.68,0.67,0.25,0.05,Gulfport,MS,East South Central
Memorial Hospital of South Bend Program,-,-,-,-,-,-,-,-,South Bend,IN,East North Central
Memorial Medical Center (Las Cruces) Program,0.3,0.05,0.81,0.06,0.33,0.37,0.03,0.05,Las Cruces,NM,Mountain
Memorial Medical Center Program,0.39,0.03,0.89,0.05,0.26,0.23,0.01,0.06,Alamogordo,NM,Mountain
Mercy Health - Anderson Hospital Program,0.52,0.25,0.9,0.19,0.52,0.49,0,0,Cincinnati,OH,East North Central
Mercy Health System (Janesville) Program,0.18,0.14,0.5,0.13,0.39,0.38,0.11,0.02,Janesville,WI,East North Central
Mercy Health System (Lake Geneva) Program,0.05,0.07,0.45,0.06,0.32,0.2,0.03,0,Lake Geneva,WI,East North Central
Mercy Health-St Rita's Medical Center Program,0.45,0.43,0.9,0.39,0.59,0.8,0.3,0.04,Lima,OH,East North Central
Mercy Hospital (St Louis) Program,0.78,0.2,0.65,0.21,0.58,0.35,0.06,0,Creve Coeur,MO,West North Central
Mercy Medical Center (Merced) Program,0.36,0.26,0.43,0.25,0.51,0.38,0.23,0.09,Merced,CA,Pacific
Mercy Medical Center (Redding) Program,0.4,0.23,0.53,0.19,0.36,0.51,0.07,0,Redding,CA,Pacific
Mercy St Vincent Medical Center Program,-,-,0.91,0.22,0.59,0.49,0.21,0,Perrysburg,OH,East North Central
Mercy St Vincent Medical Center/Mercy Health Partners Program,-,-,-,-,-,-,-,-,Toledo,OH,East North Central
Mercyhealth GME Consortium Program,0.07,0.16,0.71,0.14,0.52,0.7,0.28,0.02,Loves Park,IL,East North Central
MercyOne Des Moines/PHC Consortium Program,-,-,1,0.19,0.77,0.77,0.09,0.01,Des Moines,IA,West North Central
MercyOne North Iowa Medical Center (Mason City) Program,0.63,0.31,0.95,0.29,0.66,0.78,0.22,0.07,Mason City,IA,West North Central
MercyOne North Iowa Medical Center (Waterloo) Program,0.32,0.05,0.31,0.06,0.39,0.19,0.09,0.01,Waterloo,IA,West North Central
Meritus Medical Center Program,0.46,0.22,0.4,0.24,0.53,0.51,0.08,0,Hagerstown,MD,South Atlantic
Methodist Health System Dallas Program,0.43,0.04,0.32,0.04,0.19,0.13,0.01,0,Dallas,TX,West South Central
Methodist Hospital (Houston) Program,0.38,0.19,0.61,0.1,0.48,0.27,0.01,0,Houston,TX,West South Central
Methodist Medical Center of Oak Ridge Program,0.35,0.17,0.72,0.12,0.23,0.45,0.09,0,Oak Ridge,TN,East South Central
MHC Healthcare Program,0.27,0.1,0.3,0.1,0.13,0.18,0.09,0.03,Tucson,AZ,Mountain
Michigan State University Program,0.31,0.08,0.26,0.06,0.21,0.14,0.06,0,Alma,MI,East North Central
Middlesex Hospital Program,0.44,0.35,0.81,0.33,0.72,0.62,0.07,0,Middletown,CT,New England
Midwestern University GME Consortium / Canyon Vista Program,0.52,0.29,0.71,0.23,0,0.56,0,0,Sierra Vista,AZ,Mountain
Midwestern University GME Consortium / Kingman Program,-,-,-,-,-,-,-,-,Kingman,AZ,Mountain
Midwestern University GME Consortium / Mountain Vista Program,0.39,0.07,0.33,0.05,0,0.18,0.02,0,Mesa,AZ,Mountain
MIke O'Callaghan Military Medical Center/Nellis Air Force Base Program,-,-,-,-,-,-,-,-,Nellis AFB,NV,Mountain
Mission Community Hospital Program,0.24,0.21,0.51,0.18,0.5,0.53,0.14,0,Panorama City,CA,Pacific
Mississippi Medical Education and Research Consortium Program,0.26,0.32,1,0.29,0.67,0.7,0.26,0.14,Greenville,MS,East South Central
"Mohawk Valley Health System, Inc Program",0.42,0.06,0.21,0.09,0.19,0.26,0.07,0.07,Utica,NY,Middle Atlantic
Montana Family Medicine Residency Program,0.74,0.34,-,0.38,0.66,0.52,0.11,0.13,Billings,MT,Mountain
Montefiore Medical Center/Albert Einstein College of Medicine Program,0.28,0.12,0.34,0.12,0.57,0.12,0,0,Bronx,NY,Middle Atlantic
Morehouse School of Medicine Program,0.19,0.05,0.47,0.06,0.3,0.13,0.02,0,Atlanta,GA,South Atlantic
Morehouse School of Medicine/California Hospital Medical Center Program,0.29,0.11,0.33,0.11,0.31,0.24,0.07,0,Los Angeles,CA,Pacific
Morehouse School of Medicine/Dominican Hospital Program,0.37,0.27,0.68,0.23,0.73,0.66,0.16,0.01,Santa Cruz,CA,Pacific
Mount Carmel Health System Program,0.56,0.23,0.85,0.15,0.62,0.54,0.01,0,Grove City,OH,East North Central
Mount Sinai Hospital Medical Center of Chicago / Jackson Park Hospital Program,0.07,0.05,0,0.06,0,0,0.08,0.05,Chicago,IL,East North Central
Mount Sinai Hospital Medical Center of Chicago Program,0.17,0.04,0,0.06,0,0,0.07,0.06,Chicago,IL,East North Central
Mountain Area Health Education Center (Asheville) Program,0.59,0.21,0.47,0.25,0.53,0.22,0.01,0,Asheville,NC,South Atlantic
Mountain Area Health Education Center (Boone) Program,0.59,0.22,0.66,0.22,0.53,0.43,0,0,Boone,NC,South Atlantic
Mountain Area Health Education Center Rural Program,0.71,0.17,0.63,0.2,0.6,0.4,0.04,0,Hendersonville,NC,South Atlantic
Mountain States Institute for GME and Research Program,-,-,-,-,-,-,-,-,Nampa,ID,Mountain
MultiCare Health System (East Pierce) Program,0.43,0.3,0.73,0.24,0.55,0.41,0.03,0,Puyallup,WA,Pacific
MultiCare Health System (Omak) Program,0.33,0.31,0.46,0.3,0.51,0.4,0.14,0.11,Tacoma,WA,Pacific
MultiCare Health System (Tacoma) Program,0.7,0.28,0.56,0.32,0.6,0.26,0,0,Tacoma,WA,Pacific
Munson Medical Center Program,0.92,0.23,0.61,0.23,0.5,0.4,0.1,0,Traverse City,MI,East North Central
MyMichigan Medical Center Midland Program,0.52,0.23,0.75,0.18,0.6,0.54,0.13,0,Midland,MI,East North Central
National Capital Consortium (Fort Belvoir Community Hospital) Program,-,-,-,-,-,-,-,-,Fort Belvoir,VA,South Atlantic
Natividad Medical Center Program,0.53,0.22,0.46,0.21,0.54,0.31,0.14,0.04,Salinas,CA,Pacific
Naval Hospital (Camp Pendleton) Program,-,-,-,-,-,-,-,-,Camp Pendleton,CA,Pacific
Naval Hospital (Jacksonville) Program,-,-,-,-,-,-,-,-,Jacksonville,FL,South Atlantic
Naval Medical Center Camp Lejeune Program,-,-,-,-,-,-,-,-,Camp Lejeune,NC,South Atlantic
Nebraska Medical Center/Clarkson Regional Health Service Program,0.5,0.1,1,0.11,0.4,0.41,0.04,0.01,Omaha,NE,West North Central
New Mexico Primary Care Training Consortium Program,0.27,0.14,0.5,0.15,0.44,0.32,0.15,0.03,Espanola,NM,Mountain
New York Institute of Technology College of Osteopathic Medicine/Nassau University Medical Center Program,-,-,0.43,0.13,0.43,0.49,0.11,0.02,East Meadow,NY,Middle Atlantic
New York Medical College at St Joseph's Medical Center Program,0.15,0.1,0.3,0.1,0.49,0.1,0.09,0.01,Yonkers,NY,Middle Atlantic
New York Presbyterian Hospital (Columbia Campus) Program,-,-,-,-,-,-,-,-,New York,NY,Middle Atlantic
Niagara Falls Memorial Medical Center Program,-,-,-,-,-,-,-,-,Niagara Falls,NY,Middle Atlantic
North Colorado Medical Center Program,0.57,0.29,0.49,0.33,0.54,0.26,0,0,Greeley,CO,Mountain
North Colorado Medical Center Sterling Rural Program,0.56,0.22,0.54,0.22,0.56,0.26,0,0,Greeley,CO,Mountain
North Colorado Medical Center Wray Rural Program,0.43,0.18,0.4,0.17,0.41,0.24,0,0,Greeley,CO,Mountain
North Country HealthCare Program,0.42,0.15,0.56,0.11,0.44,0.2,0,0,Flagstaff,AZ,Mountain
North Mississippi Medical Center (Tupelo) Program,0.52,0.35,0.88,0.31,0.62,0.72,0,0,Tupelo,MS,East South Central
Northeast Georgia Medical Center Program,0.31,0.12,0.7,0.13,0.56,0.54,0.1,0.01,Gainesville,GA,South Atlantic
Northside Hospital - Gwinnett Program,0.42,0.13,0.37,0.18,0.37,0.32,0.08,0.03,Lawrenceville,GA,South Atlantic
Nova Southeastern University - College of Osteopathic Medicine Program,0.35,0.12,0.39,0.11,0.33,0.25,0.03,0,Clearwater,FL,South Atlantic
Novant Health New Hanover Regional Medical Center Program,0.46,0.11,0.58,0.11,0.3,0.17,0.05,0,Wilmington,NC,South Atlantic
Novant Health Program,0.78,0.09,0.76,0.11,0.51,0.19,0.03,0,Cornelius,NC,South Atlantic
Nuvance Health Program,0.08,0.14,0.46,0.12,0.44,0.47,0.13,0.08,Rhinebeck,NY,Middle Atlantic
Oakland Integrated Healthcare Network Program,0.03,0.01,0.03,0.01,0.03,0,0.01,0.02,Pontiac,MI,East North Central
Oakland Physicians Medical Center Program,-,-,-,-,-,-,-,-,Pontiac,MI,East North Central
Ocean University Medical Center Program,0.3,0.19,0.92,0.16,0.62,0.47,0.13,0.01,Brick,NJ,Middle Atlantic
Ochsner Clinic Foundation Program,0.1,0.1,0.85,0.08,0.52,0.65,0.06,0.01,Covington,LA,West South Central
Ohio State University Hospital Program,0.48,0.09,0.36,0.1,0.27,0.1,0.01,0.01,Columbus,OH,East North Central
OhioHealth/Doctors Hospital Program,0.76,0.34,0.91,0.32,0.36,0.64,0.01,0,Grove City,OH,East North Central
OhioHealth/Dublin Methodist Hospital Program,0.65,0.18,0.91,0.1,0.55,0.35,0,0,Dublin,OH,East North Central
OhioHealth/Grant Medical Center Program,0.66,0.4,0.84,0.34,0.68,0.51,0.08,0,Columbus,OH,East North Central
OhioHealth/O'Bleness Hospital Program,1,0.29,0.75,0.26,0.19,0.51,0.01,0,Athens,OH,East North Central
OhioHealth/Riverside Methodist Hospital Program,0.68,0.2,0.76,0.1,0.44,0.27,0,0,Columbus,OH,East North Central
Oklahoma State University Center for Health Sciences (Durant) Program,-,-,0.97,0.4,0.68,0.81,0.19,0,Durant,OK,West South Central
Oklahoma State University Center for Health Sciences (Lawton) Program,-,-,-,-,-,-,-,-,Lawton,OK,West South Central
Oklahoma State University Center for Health Sciences (McAlester) Program,-,-,-,-,-,-,-,-,McAlester,OK,West South Central
OPTI West (Roseburg) Program,0.33,0.18,0.5,0.19,0.43,0.43,0.14,0.01,Roseburg,OR,Pacific
OPTI West/PIH Health Hospital Downey Program,0.53,0.25,0.58,0.18,0.49,0.52,0,0,Downey,CA,Pacific
