Program,Silver Signal,Gold Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
University of Arizona College of Medicine-Tucson Program,0.57,0.67,0.03,0.37,0.12,0.21,0,0,0,Tucson,AZ,Mountain
University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,0.38,0.64,0.09,0,0.16,0.24,0.04,0,0,Little Rock,AR,West South Central
University of California (Irvine) Program,0.42,0.59,0.02,0.43,0.14,0.23,0.02,0,0,Orange,CA,Pacific
University of California (San Diego) Medical Center Program,0.17,0.29,0.06,0.31,0.09,0.15,0.02,0,0.08,La Jolla,CA,Pacific
University of California (San Francisco) Program,0.29,0.42,0.03,0.3,0.12,0.18,0.07,0.02,0,San Francisco,CA,Pacific
University of California (San Francisco)/Fresno Program,0.31,0.61,0.01,0.33,0.07,0.14,0.08,0.06,0.03,Fresno,CA,Pacific
University of California Davis Health Program,0.33,0.72,0.03,0.35,0.14,0.2,0.1,0.06,0.08,Sacramento,CA,Pacific
University of Central Florida/HCA Florida Healthcare (Gainesville) Program,0.39,0.33,0.09,0.47,0.1,0.24,0.14,0.01,0,"Gainesville, FL",FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Greater Orlando/Osceola) Program,0.25,0.62,0.06,0.4,0.08,0.13,0.16,0.02,0.02,Kissimmee,FL,South Atlantic
University of Central Florida/HCA Florida Healthcare (Pensacola) Program,-,-,-,-,-,-,-,-,-,Pensacola,FL,South Atlantic
University of Chicago Program,0.24,0.33,0.01,0.26,0.08,0.11,0,0,0,Chicago,IL,East North Central
University of Cincinnati Medical Center/College of Medicine Program,0.42,0.52,0.05,0.44,0.11,0.18,0.06,0.03,0,Cincinnati,OH,East North Central
University of Colorado Program,0.47,0.66,0,0.63,0.16,0.21,0.11,0,0,Aurora,CO,Mountain
University of Connecticut Program,0.43,0.78,0.01,0.63,0.11,0.18,0.07,0,0,Farmington,CT,New England
University of Florida (Pensacola) Program,0.46,0.58,0.08,0.59,0.11,0.3,0.08,0,0,Pensacola,FL,South Atlantic
University of Florida College of Medicine Jacksonville Program,0.45,0.74,0,0.43,0.1,0.21,0.01,0,0,Jacksonville,FL,South Atlantic
University of Florida Program,0.27,0.62,0.02,0.29,0.04,0.11,0.02,0,0,Gainesville,FL,South Atlantic
University of Hawaii Program,-,-,-,-,-,-,-,-,-,Honolulu,HI,Pacific
University of Illinois College of Medicine at Chicago Program,0.38,0.56,0.01,0.39,0.08,0.14,0.03,0.02,0.01,Chicago,IL,East North Central
University of Illinois College of Medicine at Peoria Program,-,-,-,-,-,-,-,-,-,Peoria,IL,East North Central
University of Iowa Hospitals and Clinics Program,0.45,0.72,0.02,0.82,0.13,0.22,0.09,0,0,Iowa City,IA,West North Central
University of Kansas (Wichita) Program,0.75,0.95,0,0.75,0.17,0.2,0.25,0,0,Wichita,KS,West North Central
University of Kansas School of Medicine Program,0.48,0.73,0.05,1,0.16,0.28,0.04,0,0,Kansas City,KS,West North Central
University of Kentucky College of Medicine (Bowling Green) Program,0.44,0.75,0.08,0.62,0.11,0.14,0.21,0.03,0,Bowling Green,KY,East South Central
University of Kentucky College of Medicine Program,0.6,0.83,0.07,0.61,0.12,0.22,0.05,0.02,0.08,Lexington,KY,East South Central
University of Louisville School of Medicine Program,0.51,0.82,0.22,0.92,0.24,0.44,0.16,0,0.02,Louisville,KY,East South Central
University of Maryland Program,-,-,-,-,-,-,-,-,-,Baltimore,MD,South Atlantic
University of Miami/Jackson Health System Program,0.24,0.67,0,0.42,0.06,0.14,0.03,0.02,0.04,Miami,FL,South Atlantic
University of Michigan Health - Sparrow/Michigan State University Program,0.4,0.43,0.06,0.39,0.09,0.24,0.05,0,0.02,Lansing,MI,East North Central
University of Michigan Health-West Program,-,-,-,-,-,-,-,-,-,Wyoming,MI,East North Central
University of Michigan Program,0.23,0.44,0.01,0.44,0.07,0.13,0,0,0.02,Ann Arbor,MI,East North Central
University of Minnesota Program,0.32,0.57,0,1,0.12,0.17,0.09,0,0,Minneapolis,MN,West North Central
University of Mississippi Medical Center Program,0.52,0.72,0.04,0.78,0.12,0.17,0.21,0,0.03,Jackson,MS,East South Central
University of Missouri-Columbia Program,0.27,0.25,0.09,0.32,0.09,0.16,0.08,0,0,Columbia,MO,West North Central
University of Missouri-Kansas City School of Medicine Program,0.26,0.58,0.02,0.36,0.08,0.17,0.03,0.04,0.06,Kansas City,MO,West North Central
University of Nebraska Medical Center College of Medicine Program,0.62,0.83,0.06,0.45,0.17,0.28,0.17,0,0,Omaha,NE,West North Central
University of New Mexico School of Medicine Program,0.21,0.42,0.12,0.64,0.13,0.19,0.02,0,0,Albuquerque,NM,Mountain
University of North Carolina Hospitals Program,-,-,-,-,-,-,-,-,-,Chapel Hill,NC,South Atlantic
University of Oklahoma Health Sciences Center Program,0.51,0.63,0,0.5,0.12,0.22,0.04,0,0,Oklahoma City,OK,West South Central
University of Oklahoma School of Community Medicine (Tulsa) Program,0.48,0.65,0.11,0.82,0.16,0.31,0.19,0.02,0.03,Tulsa,OK,West South Central
University of Pennsylvania Health System Program,0.25,0.48,0.01,0.15,0.09,0.11,0,0,0.06,Philadelphia,PA,Middle Atlantic
University of Puerto Rico Program,-,-,-,-,-,-,-,-,-,San Juan,PR,South Atlantic
University of Rochester Program,0.47,0.65,0.04,0.28,0.11,0.2,0.05,0.01,0,Rochester,NY,Middle Atlantic
University of South Florida Morsani Program,0.27,0.62,0.03,0.38,0.08,0.18,0,0,0,Tampa,FL,South Atlantic
University of Southern California/Los Angeles General Medical Center (USC/LA General) Program,0.2,0.25,0.05,0.17,0.09,0.14,0,0,0,Los Angeles,CA,Pacific
University of Tennessee College of Medicine (Nashville) Program,0.17,0.67,0,0.32,0.05,0.08,0.07,0,0,Nashville,TN,East South Central
University of Tennessee College of Medicine at Chattanooga Program,-,-,-,-,-,-,-,-,-,Chattanooga,TN,East South Central
University of Tennessee Medical Center at Knoxville Program,0.42,0.31,0.08,0.07,0.17,0.24,0,0,0,Knoxville,TN,East South Central
University of Tennessee Program,0.6,0.81,0.1,0.5,0.18,0.32,0,0.04,0,Memphis,TN,East South Central
University of Texas at Austin Dell Medical School Program,-,-,-,-,-,-,-,-,-,Austin,TX,West South Central
University of Texas Health Science Center at Houston Program,0.37,0.58,0,0.62,0.06,0.26,0.05,0.02,0.05,Houston,TX,West South Central
University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,0.51,0.74,0.07,0.53,0.1,0.32,0.09,0,0,San Antonio,TX,West South Central
University of Texas Medical Branch Hospitals Program,0.34,0.47,0.07,0.39,0.07,0.24,0.02,0.03,0.08,Galveston,TX,West South Central
University of Texas Southwestern Medical Center Program,0.35,0.84,0.05,0.52,0.14,0.29,0.09,0.03,0.04,Dallas,TX,West South Central
University of Toledo Program,0.3,0.19,0.09,0.51,0.11,0.27,0.12,0,0.02,Toledo,OH,East North Central
University of Utah Health Program,0.31,0.48,0.08,1,0.16,0.24,0.02,0.02,0.02,Salt Lake City,UT,Mountain
University of Vermont Medical Center Program,0.49,0.82,0.02,1,0.12,0.16,0.11,0,0,Burlington,VT,New England
University of Virginia Medical Center Program,0.28,0.33,0.03,0.38,0.07,0.1,0,0,0,Charlottesville,VA,South Atlantic
University of Washington Program,0.26,0.51,0.04,0.33,0.14,0.19,0.03,0,0,Seattle,WA,Pacific
University of Wisconsin Hospitals and Clinics Program,0.39,0.38,0.03,0.55,0.14,0.2,0,0,0.02,Madison,WI,East North Central
UPMC Medical Education (Harrisburg) Program,0.29,0.81,0.02,0.32,0.06,0.05,0.19,0.01,0,Harrisburg,PA,Middle Atlantic
UPMC Medical Education Program,0.42,0.6,0.06,0.33,0.16,0.21,0.1,0,0,Pittsburgh,PA,Middle Atlantic
USA Health Program,0.54,0.7,0.1,0.48,0.16,0.33,0.11,0,0,Mobile,AL,East South Central
Vanderbilt University Medical Center Program,0.36,0.52,0.01,0.22,0.13,0.17,0.02,0,0,Nashville,TN,East South Central
Virginia Commonwealth University Health System Program,0.48,0.76,0.01,0.56,0.11,0.18,0.04,0.01,0,Richmond,VA,South Atlantic
Virtua Program,0.53,0.6,0.05,0.58,0.17,0.23,0.25,0.07,0,Voorhees,NJ,Middle Atlantic
Wake Forest University Baptist Medical Center Program,0.39,0.44,0,0.56,0.1,0.15,0.03,0,0,Winston-Salem,NC,South Atlantic
Washington University/B-JH/SLCH Consortium Program,0.45,0.68,0.1,0.35,0.21,0.29,0.02,0.03,0,St Louis,MO,West North Central
Wellspan Health/York Hospital Program,0.4,0.55,0.05,0.25,0.09,0.22,0.11,0,0,York,PA,Middle Atlantic
Wellstar Health System/Wellstar Kennestone Regional Medical Center Program,0.32,0.5,0.05,0.66,0.07,0.22,0.02,0,0,Marietta,GA,South Atlantic
West Virginia University Program,0.43,0.77,0.02,0.6,0.06,0.13,0.07,0,0.04,Morgantown,WV,South Atlantic
Westchester Medical Center Program,0.55,0.3,0.01,0.44,0.07,0.24,0.02,0.02,0,Valhalla,NY,Middle Atlantic
Western Michigan University Homer Stryker MD School of Medicine Program,0.45,-,0.24,0.56,0.22,0.44,0.17,0,0,Kalamazoo,MI,East North Central
Womack Army Medical Center Program,-,-,-,-,-,-,-,-,-,Fort Liberty,NC,South Atlantic
Women and Infants Hospital of Rhode Island/Brown University Program,0.22,0.51,0,0.9,0.13,0.17,0,0,0,Providence,RI,New England
Wright State University Program,0.44,0.57,0.02,0.43,0.06,0.13,0.09,0,0,Dayton,OH,East North Central
Wyckoff Heights Medical Center Program,-,-,-,-,-,-,-,-,-,Brooklyn,NY,Middle Atlantic
Yale-New Haven Medical Center Program,0.26,0.4,0.04,0.47,0.12,0.17,0,0,0.08,New Haven,CT,New England
Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,0.26,0.85,0.02,0.37,0.07,0.18,0.04,0.02,0.04,New York,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at South Shore University Hospital Program,0.36,0.4,0.07,0.39,0.06,0.22,0.02,0,0.01,Bay Shore,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,0.14,0.19,0.09,0.6,0.04,0.22,0.09,0.04,0.01,Staten Island,NY,Middle Atlantic
Zucker School of Medicine at Hofstra/Northwell Program,0.54,0.69,0.04,0.58,0.12,0.33,0.03,0.02,0,Manhasset,NY,Middle Atla
