Program,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG,City,State,Region
Kirk Kerkorian School of Medicine at UNLV Program,0.54,0.14,0.28,0.21,0.05,0.08,Las Vegas,NV,Mountain
"KPC Global Medical Centers, Inc. Program",-,-,-,-,-,-,Hemet,CA,Pacific
Lahey Clinic Program,0.5,0.02,0.13,0.05,0.02,0.02,Burlington,MA,New England
Lake Cumberland Regional Hospital Program,-,-,-,-,-,-,Somerset,KY,East South Central
Lakeland Regional Health Program,0.63,0.18,0.48,0.54,0.12,0.06,Lakeland,FL,South Atlantic
Larkin Community Hospital Palm Springs Campus Program,0,0.05,0.04,0.02,0.07,0.02,Hialeah,FL,South Atlantic
Larkin Community Hospital Program,0.02,0.02,0.02,0,0.03,0.01,South Miami,FL,South Atlantic
Legacy Health/Emanuel Medical Center Program,0.81,0.26,0.58,0.49,0.02,0,Portland,OR,Pacific
Legacy Health/Salmon Creek Medical Center Program,0.67,0.12,0.66,0.3,0.04,0.01,Vancouver,WA,Pacific
Lehigh Valley Health Network Program,0.34,0.09,0.25,0.23,0.05,0.03,Allentown,PA,Middle Atlantic
Leonard J Chabert Medical Center Program,0.2,0.03,0.06,0,0.05,0.02,Houma,LA,West South Central
Lincoln Medical and Mental Health Center Program,0.36,0.09,0.3,0.11,0.07,0.09,Bronx,NY,Middle Atlantic
Loma Linda University Health Education Consortium Program,0.44,0.1,0.3,0.22,0.01,0.01,Loma Linda,CA,Pacific
Loma Linda University Medical Center - Murrieta Program,0.24,0.01,0.3,0.01,0,0.01,Murrieta,CA,Pacific
Long Island Community Hospital Program,0.34,0.07,0,0.28,0.11,0,Patchogue,NY,Middle Atlantic
Los Angeles County-Harbor-UCLA Medical Center Program,0.32,0.17,0.32,0.05,0,0,Torrance,CA,Pacific
Louis A Weiss Memorial Hospital Program,0.01,0.03,0.01,0,0.03,0.04,Chicago,IL,East North Central
Louisiana State University (Shreveport) Program,0.69,0.05,0.48,0.31,0.03,0.02,Shreveport,LA,West South Central
Louisiana State University School of Medicine (Baton Rouge) Program,-,-,-,-,-,-,Baton Rouge,LA,West South Central
Louisiana State University School of Medicine Program,0.57,0.1,0.24,0.16,0.02,0,New Orleans,LA,West South Central
Loyola Medicine MacNeal Hospital Program,0.16,0.04,0.06,0.07,0.04,0.04,Berwyn,IL,East North Central
Loyola University Medical Center Program,0.56,0.21,0.48,0.03,0.01,0.01,Maywood,IL,East North Central
LSU Health Sciences Center/University Hospital and Clinics (Lafayette) Program,0.93,0.07,0.29,0.29,0.04,0.02,Lafayette,LA,West South Central
Madigan Army Medical Center Program,-,-,-,-,-,-,Tacoma,WA,Pacific
Magnolia Regional Health Center Program,0.8,0.13,0.64,0.78,0.02,0,Corinth,MS,East South Central
Maimonides Medical Center Program,0.1,0.05,0.09,0.04,0.04,0.05,Brooklyn,NY,Middle Atlantic
Main Line Health System/Lankenau Medical Center Program,0.41,0.04,0.35,0.17,0.02,0.02,Wynnewood,PA,Middle Atlantic
MaineHealth Program,0.78,0.15,0.29,0.2,0.02,0.05,Portland,ME,New England
Manatee Memorial Hospital Program,0.49,0.11,0.3,0.35,0.16,0,Bradenton,FL,South Atlantic
Marshall University School of Medicine Program,0.83,0.05,0.38,0.37,0.02,0.04,Huntington,WV,South Atlantic
Marshfield Clinic Program,0.4,0.03,0.25,0.05,0.01,0.03,Marshfield,WI,East North Central
"Martin Luther King, Jr. Community Hospital Program",0.41,0.1,0.44,0.19,0.04,0,Los Angeles,CA,Pacific
Mary Washington Healthcare Program,0.77,0.05,0.28,0.37,0.07,0.01,Fredericksburg,VA,South Atlantic
Mass General Brigham/Brigham and Women's Hospital Program,0.5,0.11,0.19,0,0.01,0.01,Boston,MA,New England
Mass General Brigham/Massachusetts General Hospital Program,0.48,0.09,0.17,0,0,0,Boston,MA,New England
Mass General Brigham/Salem Hospital Program,0.25,0.03,0.14,0.07,0.03,0.03,Salem,MA,New England
Mayo Clinic College of Medicine and Science (Jacksonville) Program,0.16,0.04,0.14,0.05,0.01,0.01,Jacksonville,FL,South Atlantic
Mayo Clinic College of Medicine and Science (Rochester) Program,0.41,0.1,0.23,0.01,0.01,0.02,Rochester,MN,West North Central
Mayo Clinic College of Medicine and Science (Scottsdale) Program,0.28,0.06,0.22,0.01,0,0.01,Scottsdale,AZ,Mountain
McGaw Medical Center of Northwestern University Program,0.21,0.1,0.15,0,0.01,0.01,Chicago,IL,East North Central
McLaren Health Care Corporation Program,-,-,-,-,-,-,Port Huron,MI,East North Central
McLaren Health Care Corporation Program,-,-,-,-,-,-,Bay City,MI,East North Central
McLaren Health Care/Flint/MSU Program,0.62,0.07,0.39,0.34,0.1,0.02,Flint,MI,East North Central
McLaren Health Care/Greater Lansing/MSU Program,0.61,0.13,0.42,0.27,0.01,0,Lansing,MI,East North Central
McLaren Health Care/Macomb/MSU Program,0.76,0.13,0.49,0.46,0.07,0.05,Mount Clemens,MI,East North Central
McLaren Health Care/Oakland/MSU Program,0.34,0.05,0.24,0.16,0.05,0.02,Pontiac,MI,East North Central
Medical College of Georgia Program,0.57,0.09,0.29,0.11,0.02,0.01,Augusta,GA,South Atlantic
Medical College of Wisconsin Affiliated Hospitals Program,0.88,0.22,0.41,0.16,0,0,Milwaukee,WI,East North Central
Medical University of South Carolina Program,0.61,0.14,0.24,0.06,0.03,0.02,Charleston,SC,South Atlantic
Medical University of South Carolina Regional Network Program,0.33,0.19,0.28,0.5,0.05,0.22,Florence,SC,South Atlantic
MedStar Health (Baltimore) Program,0.44,0.04,0.08,0.09,0.02,0.04,Baltimore,MD,South Atlantic
MedStar Health/Georgetown University Hospital Program,0.39,0.08,0.17,0.05,0,0.01,Washington,DC,South Atlantic
MedStar Health/Georgetown-Washington Hospital Center Program,0.15,0.06,0.1,0.01,0.04,0.07,Washington,DC,South Atlantic
Meharry Medical College Program,0.27,0.04,0.06,0,0.06,0.01,Nashville,TN,East South Central
"Memorial Healthcare System (Hollywood, Florida) Program",0.61,0.03,0.35,0.17,0.04,0.02,Pembroke Pines,FL,South Atlantic
Memorial Hospital at Gulfport Program,0.79,0.05,0.58,0.78,0,0,Gulfport,MS,East South Central
Mercy Catholic Medical Center Program,0.37,0.06,0.26,0.28,0.06,0.05,Darby,PA,Middle Atlantic
Mercy Health-St Rita's Medical Center Program,0.9,0.21,0.74,0.62,0.05,0,Lima,OH,East North Central
Mercy Hospital (St Louis) Program,0.37,0.02,0.3,0.14,0.02,0.01,St Louis,MO,West North Central
Mercy St Vincent Medical Center/Mercy Health Partners Program,-,-,-,-,-,-,Toledo,OH,East North Central
Mercyhealth GME Consortium Program,0.63,0.11,0.55,0.46,0.05,0.01,Rockford,IL,East North Central
MercyOne Des Moines/PHC Consortium Program,0.91,0.19,0.69,0.51,0.02,0.02,Des Moines,IA,West North Central
MercyOne North Iowa Medical Center Program,0.82,0.1,0.62,0.37,0.03,0.01,Mason City,IA,West North Central
Methodist Health System Dallas Program,0.52,0.13,0.44,0.23,0,0,Dallas,TX,West South Central
Methodist Healthcare System of San Antonio Program,-,-,-,-,-,-,San Antonio,TX,West South Central
Methodist Hospital (Houston) Program,0.55,0.05,0.39,0.1,0.01,0.01,Houston,TX,West South Central
Methodist Hospital (Woodlands) Program,-,-,-,-,-,-,The Woodlands,TX,West South Central
Methodist Le Bonheur Healthcare Program,0.52,0.02,0.37,0.07,0,0,Memphis,TN,East South Central
MetroWest Medical Center Program,0.25,0.02,0.11,0.03,0.01,0.02,Framingham,MA,New England
Midwestern University GME Consortium / Canyon Vista Program,0.48,0.06,0.02,0.24,0.03,0.05,Sierra Vista,AZ,Mountain
Midwestern University GME Consortium / Mountain Vista Program,0.2,0.03,0.03,0.11,0.02,0,Mesa,AZ,Mountain
Midwestern University GME Consortium / Verde Valley Program,0.25,0.02,0.09,0.08,0.02,0.01,Cottonwood,AZ,Mountain
Mobile Infirmary Medical Center Program,1,0.4,0.67,0.5,0.43,0.39,Mobile,AL,East South Central
Montefiore Medical Center/Albert Einstein College of Medicine (Moses and Weiler Campuses) Program,0.43,0.11,0.44,0.03,0,0.01,Bronx,NY,Middle Atlantic
Montefiore Medical Center/Albert Einstein College of Medicine (New Rochelle) Program,-,-,-,-,-,-,New Rochelle,NY,Middle Atlantic
Montefiore Medical Center/Albert Einstein College of Medicine (Wakefield Campus) Program,0.15,0.05,0.1,0.15,0.05,0.04,Bronx,NY,Middle Atlantic
Montefiore St. Luke's Cornwall Program,0.12,0.02,0,0.14,0.01,0.02,Newburgh,NY,Middle Atlantic
Morehouse School of Medicine Program,0.77,0.12,0.44,0.15,0.11,0.03,Atlanta,GA,South Atlantic
Morehouse School of Medicine/Bakersfield Memorial Hospital Program,-,-,-,-,-,-,Bakersfield,CA,Pacific
Morehouse School of Medicine/CHI St. Vincent's (Hot Springs) Program,0.86,0.25,0.56,0.78,0.16,0.11,Hot Springs,AR,West South Central
Mount Auburn Hospital Program,0.5,0.04,0.26,0.1,0.02,0.02,Cambridge,MA,New England
Mount Carmel Health System Program,0.77,0.11,0.44,0.35,0,0,Grove City,OH,East North Central
Mount Sinai Hospital Medical Center of Chicago Program,0.02,0.02,0.02,0,0.05,0.01,Chicago,IL,East North Central
Mount Sinai Medical Center of Florida Program,0.27,0.02,0.06,0.08,0.02,0.02,Miami Beach,FL,South Atlantic
Mountain Area Health Education Center Program,0.61,0.26,0.75,0.31,0.02,0.01,Asheville,NC,South Atlantic
Naples Comprehensive Health Program,0.4,0.05,0.36,0.14,0.04,0.01,Naples,FL,South Atlantic
Nassau University Medical Center Program,0.12,0.03,0,0.09,0.08,0.01,East Meadow,NY,Middle Atlantic
National Capital Consortium Program,-,-,-,-,-,-,Bethesda,MD,South Atlantic
Naval Medical Center (Portsmouth) Program,-,-,-,-,-,-,Portsmouth,VA,South Atlantic
Naval Medical Center (San Diego) Program,-,-,-,-,-,-,San Diego,CA,Pacific
Nazareth Hospital Program,0.12,0.02,0.06,0.05,0.03,0.02,Philadelphia,PA,Middle Atlantic
New York Medical College (Metropolitan) Program,0.18,0.03,0.09,0,0.03,0.03,New York,NY,Middle Atlantic
New York Medical College at St Michael's Medical Center Program,0.05,0.02,0.05,0.03,0.02,0.02,Newark,NJ,Middle Atlantic
New York Medical College/Landmark Medical Center Program,0.86,0.09,0.5,0.25,0.07,0.05,Woonsocket,RI,New England
New York Medical College/St. Mary and St. Clare Program,0.18,0.07,0.13,0.11,0.08,0.06,Denville,NJ,Middle Atlantic
New York Presbyterian Hospital (Columbia Campus) Program,0.31,0.09,0.22,0,0,0,New York,NY,Middle Atlantic
New York Presbyterian Hospital (Cornell Campus) Program,0.25,0.1,0.22,0,0,0.01,New York,NY,Middle Atlantic
New York-Presbyterian Brooklyn Methodist Hospital Program,0.28,0.09,0.19,0.22,0.1,0.03,Brooklyn,NY,Middle Atlantic
New York-Presbyterian/Queens Program,0.1,0.02,0.05,0.1,0.02,0.01,Flushing,NY,Middle Atlantic
North Alabama Medical Center Program,0.39,0.06,0.51,0.31,0.03,0.06,Florence,AL,East South Central
North East Medical Services Program,0.36,0.07,0.31,0.35,0.08,0.03,Daly City,CA,Pacific
North Mississippi Medical Center Program,0.92,0.07,0.71,0.69,0.06,0.03,Tupelo,MS,East South Central
"North Oaks Medical Center, LLC Program",-,-,-,-,-,-,Hammond,LA,West South Central
Northeast Georgia Medical Center Program,0.76,0.05,0.48,0.32,0.03,0.02,Gainesville,GA,South Atlantic
Northside Hospital - Gwinnett Program,0.45,0.14,0.25,0.22,0.08,0.04,Lawrenceville,GA,South Atlantic
Norwalk Hospital/Yale University Program,0.67,0.03,0.32,0.1,0.04,0.02,Norwalk,CT,New England
Novant Health New Hanover Regional Medical Center Program,0.55,0.06,0.22,0.13,0.02,0.02,Wilmington,NC,South Atlantic
Nuvance Health Program,0.51,0.05,0.3,0.45,0.1,0.02,Poughkeepsie,NY,Middle Atlantic
NYC Health & Hospitals/South Brooklyn Health Program,0.21,0.05,0.03,0.13,0.05,0.05,Brooklyn,NY,Middle Atlantic
NYU Grossman Long Island School of Medicine Program,0.45,0.03,0.27,0.1,0.02,0,Mineola,NY,Middle Atlantic
NYU Grossman School of Medicine Program,0.29,0.16,0.27,0.07,0.01,0,New York,NY,Middle Atlantic
Ocean University Medical Center Program,0.91,0.11,0.41,0.37,0.12,0.06,Brick,NJ,Middle Atlantic
Ochsner Clinic Foundation Program,0.44,0.09,0.29,0.29,0.05,0.01,New Orleans,LA,West South Central
Ohio State University Hospital Program,0.51,0.14,0.26,0.09,0.05,0.04,Columbus,OH,East North Central
OhioHealth/Doctors Hospital Program,0.68,0.13,0.03,0.19,0,0,Columbus,OH,East North Central
OhioHealth/Riverside Methodist Hospital Program,0.4,0.08,0.16,0.15,0.05,0.01,Columbus,OH,East North Central
Oklahoma State University Center for Health Sciences (Stillwater) Program,0.78,0.17,0.43,0.5,0.03,0,Stillwater,OK,West South Central
Oklahoma State University Center for Health Sciences Program,0.74,0.13,0,0.24,0,0,Tulsa,OK,West South Central
Olive View/UCLA Medical Center Program,0.33,0.15,0.29,0.07,0.02,0.01,Sylmar,CA,Pacific
One Brooklyn Health System/Brookdale University Hospital and Medical Center Program,0.01,0.09,0,0.01,0.21,0.06,Brooklyn,NY,Middle Atlantic
One Brooklyn Health System/Interfaith Medical Center Program,0,0.06,0,0,0.04,0.07,Brooklyn,NY,Middle Atlantic
OPTI West - Benefis Hospital Program,-,-,-,-,-,-,Great Falls,MT,Mountain
OPTI West/Valley Hospital (Las Vegas) Program,0.6,0.04,0,0.15,0.04,0.01,Las Vegas,NV,Mountain
Oregon Health & Science University (OHSU Health) Program,0.91,0.2,0.32,0.12,0.01,0,Portland,OR,Pacific
Oregon Health & Science University (OHSU Health)/Hillsboro Medical Center Program,0.93,0.07,0.31,0.16,0.02,0.01,Hillsboro,OR,Pacific
Orlando Health Program,0.28,0.03,0.2,0.05,0.01,0,Orlando,FL,South Atlantic
"Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO) Program",0.69,0.12,0,0.35,0.03,0.02,Tahlequah,OK,West South Central
Our Lady Of Lourdes Memorial Hospital Inc. Program,-,-,-,-,-,-,Binghamton,NY,Middle Atlantic
Palmetto General Hospital Program,0.54,0.1,0.34,0.27,0.1,0.01,Hialeah,FL,South Atlantic
Parkview Health Program,0.81,0.05,0.61,0.41,0.05,0.01,Fort Wayne,IN,East North Central
Parkview Medical Center Program,0.63,0.05,0.32,0.24,0.01,0.03,Pueblo,CO,Mountain
Penn State Milton S Hershey Medical Center Program,0.25,0.07,0.18,0.08,0.03,0.01,Hershey,PA,Middle Atlantic
Pennsylvania Hospital of the University of Pennsylvania Health System Program,0.23,0.03,0.06,0.09,0.02,0.02,Philadelphia,PA,Middle Atlantic
Philadelphia College of Osteopathic Medicine Program,0.36,0.02,0,0.09,0.03,0.04,Philadelphia,PA,Middle Atlantic
Piedmont Athens Regional Program,0.5,0.03,0.14,0.15,0.03,0.03,Athens,GA,South Atlantic
Piedmont Macon Medical Center Program,0.55,0.07,0.34,0.27,0.06,0.03,Macon,GA,South Atlantic
Prime South GME Consortium Program,-,-,-,-,-,-,Riverdale,GA,South Atlantic
Prime South GME Consortium Program,-,-,-,-,-,-,Harlingen,TX,West South Central
Prime West Consortium Program,0.16,0.04,0.22,0.06,0.04,0.04,Redding,CA,Pacific
Prime West Consortium/Centinela Hospital Medical Center Program,0.02,0.02,0.03,0.02,0.02,0.02,Inglewood,CA,Pacific
Prime West Consortium/Desert Valley Hospital Program,0.3,0.08,0.04,0.19,0.09,0.06,Victorville,CA,Pacific
Prime West Consortium/West Anaheim Medical Center Program,0.04,0.04,0.06,0.04,0.05,0.02,Anaheim,CA,Pacific
Prisma Health/University of South Carolina SOM Columbia (Columbia) Program,0.55,0.14,0.3,0.2,0,0.01,Columbia,SC,South Atlantic
Prisma Health/University of South Carolina SOM Greenville (Greenville) Program,0.63,0.14,0.36,0.13,0.01,0.03,Greenville,SC,South Atlantic
Providence Health & Services - Oregon/Providence Medical Center Program,0.81,0.19,0.38,0.14,0.01,0.01,Portland,OR,Pacific
Providence Health & Services - Oregon/St Vincent Hospital and Medical Center Program,0.71,0.12,0.28,0.08,0.01,0,Portland,OR,Pacific
Providence St. Mary Medical Center Program,-,-,-,-,-,-,Apple Valley,CA,Pacific
Quinnipiac University Frank H. Netter MD School of Medicine/St Vincent's Medical Center Program,0.9,0.05,0.49,0.25,0.02,0.02,Bridgeport,CT,New England
Ramon Betances Hospital-Mayaguez Medical Center/Ponce School of Medicine Consortium Program,-,-,-,-,-,-,Mayaguez,PR,South Atlantic
Richmond University Medical Center Program,0.24,0.04,0.26,0.21,0.1,0.01,Staten Island,NY,Middle Atlantic
Riverside Medical Center Program,0.68,0.07,0.35,0.25,0,0,Kankakee,IL,East North Central
Riverside Regional Medical Center Program,0.82,0.05,0.46,0.61,0.02,0.03,Newport News,VA,South Atlantic
Riverside University Health System Program,0.41,0.11,0.31,0.3,0.04,0.01,Moreno Valley,CA,Pacific
Robert Packer Hospital/Guthrie Program,0.32,0.02,0.14,0.18,0,0.02,Sayre,PA,Middle Atlantic
Rochester General Hospital Program,0.07,0.04,0.03,0.18,0.02,0.04,Rochester,NY,Middle Atlantic
Rochester Regional Health/Unity Hospital (Rochester) Program,0.03,0.02,0.02,0.05,0.01,0.03,Rochester,NY,Middle Atlantic
Roger Williams Medical Center Program,0.31,0.05,0.17,0.45,0.03,0.02,Providence,RI,New England
Rush University Medical Center Program,0.48,0.12,0.28,0.02,0,0,Chicago,IL,East North Central
Rutgers Health/Community Medical Center Program,0.17,0.03,0,0.18,0.05,0.02,Toms River,NJ,Middle Atlantic
Rutgers Health/Jersey City Medical Center Program,0,0.03,0.03,0.07,0.05,0.02,Jersey City,NJ,Middle Atlantic
Rutgers Health/Monmouth Medical Center Program,0.06,0.04,0.06,0.04,0.03,0.04,Long Branch,NJ,Middle Atlantic
Rutgers Health/New Jersey Medical School Program,0.47,0.06,0.25,0.07,0.01,0.02,Newark,NJ,Middle Atlantic
Rutgers Health/Newark Beth Israel Medical Center Program,0.21,0.08,0.14,0.14,0.07,0.04,Newark,NJ,Middle Atlantic
Rutgers Health/Robert Wood Johnson Medical School Program,0.56,0.15,0.41,0.02,0,0,New Brunswick,NJ,Middle Atlantic
Rutgers Health/Trinitas Regional Medical Center Program,0,0,0,0.01,0,0,Elizabeth,NJ,Middle Atlantic
Saint Joseph Hospital Program,0.7,0.1,0.19,0.14,0.01,0,Denver,CO,Mountain
Saint Peter's University Hospital/Rutgers Robert Wood Johnson Medical School Program,0.52,0.03,0.22,0.08,0.03,0.03,New Brunswick,NJ,Middle Atlantic
Samaritan Health Services - Corvallis Program,0.46,0.24,0.27,0.5,0.04,0,Corvallis,OR,Pacific
Samaritan Medical Center Program,-,-,-,-,-,-,Watertown,NY,Middle Atlantic
San Antonio Uniformed Services Health Education Consortium Program,-,-,-,-,-,-,JBSA Fort Sam Houston,TX,West South Central
San Joaquin General Hospital Program,0.09,0.09,0.06,0.1,0.13,0.04,French Camp,CA,Pacific
San Juan City Hospital Program,-,-,-,-,-,-,San Juan,PR,South Atlantic
San Ysidro Health Program,0.29,0.04,0.19,0.14,0.01,0.01,San Diego,CA,Pacific
Santa Barbara Cottage Hospital Program,0.11,0.07,0.13,0.09,0.06,0.01,Santa Barbara,CA,Pacific
Santa Clara Valley Medical Center Program,0.26,0.11,0.23,0.08,0.01,0.03,San Jose,CA,Pacific
Scripps Clinic/Scripps Green Hospital Program,0.23,0.11,0.24,0.06,0.02,0.01,La Jolla,CA,Pacific
Scripps Mercy Hospital Program,0.31,0.13,0.32,0.11,0.02,0,San Diego,CA,Pacific
Sidney Kimmel Medical College at Thomas Jefferson University/Christiana Care Health Services Program,-,0.16,0.31,0.27,0,0,Newark,DE,South Atlantic
Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,0.36,0.13,0.28,0.03,0.01,0.01,Philadelphia,PA,Middle Atlantic
Sierra View Medical Center Program,0.25,0.04,0.1,0.26,0.07,0.01,Porterville,CA,Pacific
Sinai Hospital of Baltimore Program,0.48,0.04,0.15,0.09,0.02,0.03,Baltimore,MD,South Atlantic
Skagit Regional Health Program,0.78,0.13,0.28,0.39,0.06,0.04,Mount Vernon,WA,Pacific
South Georgia Medical Center Program,0.64,0.12,0.4,0.23,0.11,0.02,Valdosta,GA,South Atlantic
South Texas Health System GME Consortium Program,-,-,-,-,-,-,McAllen,TX,West South Central
Southeast Health Program,0.64,0.18,0.42,0.36,0.23,0,Dothan,AL,East South Central
Southern Illinois University Program,0.56,0.06,0.45,0.31,0.05,0.01,Springfield,IL,East North Central
Southwest Healthcare Medical Education Consortium Program,0.55,0.13,0.54,0.34,0.1,0,Temecula,CA,Pacific
Sovah Health-Danville Program,0.8,0.07,0.21,0.29,0.03,0.01,Danville,VA,South Atlantic
Spokane Teaching Health Center Program,0.71,0.13,0.36,0.2,0.02,0.03,Spokane,WA,Pacific
SSM Health/Saint Louis University School of Medicine Program,0.59,0.09,0.27,0.2,0.02,0.02,St Louis,MO,West North Central
SSM St Mary's Hospital-St Louis Program,0.29,0.03,0.07,0.1,0.03,0.03,St Louis,MO,West North Central
St Agnes HealthCare Program,0.22,0.02,0.06,0.09,0.01,0.02,Baltimore,MD,South Atlantic
St Barnabas Hospital Program,-,-,-,-,-,-,Bronx,NY,Middle Atlantic
St Elizabeth Youngstown Hospital/NEOMED Program,0.28,0.03,0.11,0.18,0.04,0.01,Youngstown,OH,East North Central
St Elizabeth's Medical Center Program,0.4,0.04,0.16,0.15,0.03,0.02,Boston,MA,New England
St John's Episcopal Hospital-South Shore Program,-,-,-,-,-,-,Far Rockaway,NY,Middle Atlantic
St Joseph's Medical Center Program,0.49,0.11,0.24,0.34,0.11,0.02,Stockton,CA,Pacific
St Joseph's University Medical Center Program,0.13,0.03,0.07,0.04,0.05,0.02,Paterson,NJ,Middle Atlantic
St Luke's Hospital - Anderson Campus Program,0.34,0.05,0.38,0.11,0.06,0.01,Easton,PA,Middle Atlantic
St Luke's Hospital Program,0.27,0.03,0.15,0.06,0.07,0.02,Chesterfield,MO,West North Central
St Luke's University Hospital Program,0.51,0.06,0.41,0.2,0.02,0.01,Bethlehem,PA,Middle Atlantic
St Luke's University Hospital/Easton Hospital Program,-,-,-,-,-,-,Easton,PA,Middle Atlantic
St Mary Medical Center Program,0.29,0.07,0.19,0.19,0.04,0.02,Long Beach,CA,Pacific
St Mary's Hospital (Waterbury) Program,0.94,0.05,0.35,0.06,0.07,0.03,Waterbury,CT,New England
St Mary's Hospital and Medical Center Program,-,-,-,-,-,-,San Francisco,CA,Pacific
St Vincent Hospital Program,0.53,0.05,0.23,0.14,0.02,0.05,Worcester,MA,New England
St. Agnes Medical Center (Fresno) Program,0.26,0.13,0.18,0.21,0.09,0.16,Fresno,CA,Pacific
St. Bernards Medical Center Program,0.67,0.26,0.33,0.59,0.18,0.09,Jonesboro,AR,West South Central
St. Clair Health Graduate Medical Education Program,-,-,-,-,-,-,Pittsburgh,PA,Middle Atlantic
St. Francis Medical Center Program,0.9,0.05,0.46,0.56,0.05,0.04,Monroe,LA,West South Central
St. Francis-Emory Healthcare Program,0.35,0.02,0.12,0.09,0.01,0,Columbus,GA,South Atlantic
St. John's Riverside Hospital Program,0.7,0.1,0.5,0.44,0.04,0,Yonkers,NY,Middle Atlantic
St. Mary Medical Center Program,0.15,0.03,0.09,0.17,0.05,0.02,Langhorne,PA,Middle Atlantic
Stamford Hospital/Columbia University College of Physicians and Surgeons Program,0.79,0.09,0.33,0.24,0.07,0.04,Stamford,CT,New England
Stanford Health Care-Sponsored Stanford University Program,0.25,0.13,0.23,0,0,0,Stanford,CA,Pacific
Steward Carney Hospital Program,0.16,0.02,0.04,0,0.03,0.02,Boston,MA,New England
Still OPTI Program,-,-,-,-,-,-,Kirksville,MO,West North Central
Stony Brook Medicine/Southampton Hospital Program,0.42,0.06,0.16,0.31,0.03,0,Southampton,NY,Middle Atlantic
Stony Brook Medicine/University Hospital Program,0.52,0.07,0.39,0.08,0.03,0,Stony Brook,NY,Middle Atlantic
Suburban Community Hospital (Lower Bucks Hospital) Program,0.02,0.04,0.02,0.01,0.03,0.04,Bristol,PA,Middle Atlantic
Suburban Community Hospital Program,0.36,0.09,0.37,0.21,0.06,0.08,East Norriton,PA,Middle Atlantic
Summa Health System/NEOMED Program,0.54,0.13,0.3,0.31,0,0.01,Akron,OH,East North Central
SUNY Downstate Health Sciences University (Primary Care) Program,0.42,0.06,0.55,0.36,0.07,0.02,Brooklyn,NY,Middle Atlantic
SUNY Downstate Health Sciences University Program,0.21,0.05,0.13,0.04,0.11,0.03,Brooklyn,NY,Middle Atlantic
SUNY Upstate Medical University Program,0.34,0.04,0.22,0.16,0.07,0.02,Syracuse,NY,Middle Atlantic
Sutter Health/Alta Bates Summit Medical Center Program,0.87,0.12,0.85,0.79,0.02,0.02,Oakland,CA,Pacific
Sutter Health/Memorial Medical Center Program,-,-,-,-,-,-,Modesto,CA,Pacific
Sutter Health/Sutter Roseville Medical Center Program,0.51,0.06,0.4,0.19,0.02,0,Roseville,CA,Pacific
Swedish Hospital Program,0.48,0.07,0.22,0.18,0.01,0.02,Chicago,IL,East North Central
Temple University Hospital Program,0.42,0.09,0.23,0.05,0.02,0.02,Philadelphia,PA,Middle Atlantic
Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,0.46,0.08,0.3,0.21,0.01,0.01,Temple,TX,West South Central
Texas College of Osteopathic Medicine Program,-,-,-,-,-,-,Paris,TX,West South Central
Texas Health Resources (Bedford/Denton) Program,0.55,0.04,0.4,0.42,0.02,0.02,Bedford,TX,West South Central
Texas Health Resources (Dallas) Program,0.52,0.03,0.33,0.11,0,0.02,Dallas,TX,West South Central
Texas Health Resources/Harris Methodist Hospital Fort Worth Program,0.46,0.07,0.33,0.16,0.02,0,Fort Worth,TX,West South Central
Texas Health Resources/Presbyterian Hospital of Plano Program,0.77,0.11,0.59,0.53,0.1,0.06,Plano,TX,West South Central
Texas Institute for Graduate Medical Education and Research (TIGMER) Laredo Program,0.78,0.16,0.52,0.5,0.14,0.03,Laredo,TX,West South Central
Texas Institute for Graduate Medical Education and Research (TIGMER) Program,0.27,0.04,0.03,0.15,0.04,0.01,San Antonio,TX,West South Central
Texas Tech University (Amarillo) Program,0.23,0.03,0.15,0.07,0.08,0.01,Amarillo,TX,West South Central
Texas Tech University (Permian Basin) Program,0.1,0.02,0.08,0.01,0.01,0.02,Odessa,TX,West South Central
Texas Tech University Health Sciences Center at Lubbock Program,0.17,0.02,0.14,0.05,0.01,0.02,Lubbock,TX,West South Central
Texas Tech University HSC El Paso Program,0.59,0.06,0.45,0.39,0.03,0.06,El Paso,TX,West South Central
Texas Tech University HSC El Paso/Hospitals of Providence Transmountain Campus Program,0.21,0.03,0.18,0.02,0.04,0.03,El Paso,TX,West South Central
The MetroHealth System/Case Western Reserve University Program,0.53,0.07,0.2,0.21,0.05,0.03,Cleveland,OH,East North Central
Thomas Hospital Program,0.82,0.05,0.77,0.56,0.04,0.02,Fairhope,AL,East South Central
TidalHealth Program,1,0.05,0.5,0.52,0.08,0.02,Salisbury,MD,South Atlantic
"TMC Health Medical Education Program, Inc. (THMEP) Program",-,-,-,-,-,-,Tucson,AZ,Mountain
Tower Health Program,0.46,0.03,0.27,0.22,0.01,0.02,West Reading,PA,Middle Atlantic
Tower Health/Phoenixville Hospital Program,0.1,0.02,0.19,0.02,0.01,0.02,Phoenixville,PA,Middle Atlantic
TriHealth (Good Samaritan Hospital) Program,0.3,0.02,0.19,0.15,0.01,0.02,Cincinnati,OH,East North Central
Trinity Health Ann Arbor Hospital Program,0.4,0.03,0.22,0.12,0.04,0.03,Ann Arbor,MI,East North Central
